KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
1514,Sande,Molde,1741.0,0.0,True,Ferdig,True,False,53.0,trivielt_tidlig_allerede_ferdig
1515,Herøy,Molde,3933.0,0.0,True,Ferdig,True,False,54.0,trivielt_tidlig_allerede_ferdig
1573,Smøla,Molde,1964.0,0.0,True,Ferdig,True,False,55.0,trivielt_tidlig_allerede_ferdig
1517,Hareid,Molde,1697.0,0.0,True,Ferdig,True,False,56.0,trivielt_tidlig_allerede_ferdig
1520,Ørsta,Molde,7613.0,0.0,True,Ferdig,True,False,57.0,trivielt_tidlig_allerede_ferdig
1531,Sula,Molde,2706.0,0.0,False,Ferdig,True,False,58.0,trivielt_tidlig_allerede_ferdig
1532,Giske,Molde,1996.0,0.0,True,Ferdig,True,False,59.0,trivielt_tidlig_allerede_ferdig
5630,Berlevåg,Tromsø,1390.0,0.0,False,Ferdig,True,False,60.0,trivielt_tidlig_allerede_ferdig
1539,Rauma,Molde,7546.0,0.0,True,Ferdig,True,False,61.0,trivielt_tidlig_allerede_ferdig
3310,Hole,Oslo,3102.0,0.0,False,Ferdig,True,False,62.0,trivielt_tidlig_allerede_ferdig
4217,Åmli,Kristiansand,8190.0,8190.0,False,Ikke påbegynt,True,False,63.0,ekte_robust_tidlig
1563,Sunndal,Molde,7848.0,7848.0,True,Ikke påbegynt,True,False,64.0,ekte_robust_tidlig
5021,Oppdal,Trondheim,37049.0,37049.0,False,Ikke påbegynt,False,False,65.0,fleksibel_mellomgruppe
1134,Suldal,Stavanger,9362.0,9362.0,False,Ikke påbegynt,True,False,66.0,ekte_robust_tidlig
4026,Tinn,Skien,13385.0,13385.0,False,Ikke påbegynt,False,False,67.0,fleksibel_mellomgruppe
4618,Ullensvang,Bergen,18650.0,18650.0,False,Ikke påbegynt,False,False,68.0,fleksibel_mellomgruppe
4227,Kvinesdal,Kristiansand,10186.0,10186.0,False,Ikke påbegynt,True,False,69.0,ekte_robust_tidlig
3305,Ringerike,Oslo,27311.0,27311.0,False,Ikke påbegynt,False,False,70.0,fleksibel_mellomgruppe
4005,Notodden,Skien,8977.0,8977.0,False,Påbegynt,True,False,71.0,ekte_robust_tidlig
3439,Ringebu,Hamar,18435.0,18435.0,False,Ikke påbegynt,True,False,72.0,ekte_robust_tidlig
1133,Hjelmeland,Stavanger,7360.0,7360.0,False,Ikke påbegynt,False,False,73.0,fleksibel_mellomgruppe
1806,Narvik,Bodø,12335.0,12335.0,False,Ikke påbegynt,False,False,74.0,fleksibel_mellomgruppe
5059,Orkland,Trondheim,21540.0,21540.0,True,Ikke påbegynt,True,False,75.0,ekte_robust_tidlig
1566,Surnadal,Molde,7330.0,7330.0,True,Ikke påbegynt,True,False,76.0,ekte_robust_tidlig
4022,Seljord,Skien,9972.0,9972.0,False,Ikke påbegynt,True,False,77.0,ekte_robust_tidlig
4220,Bygland,Kristiansand,7574.0,7574.0,False,Ikke påbegynt,False,False,78.0,fleksibel_mellomgruppe
1122,Gjesdal,Stavanger,5779.0,5779.0,False,Ikke påbegynt,True,False,79.0,ekte_robust_tidlig
4647,Sunnfjord,Bergen,22959.0,22959.0,True,Ikke påbegynt,True,False,80.0,ekte_robust_tidlig
4024,Hjartdal,Skien,8171.0,8171.0,False,Ikke påbegynt,False,False,81.0,fleksibel_mellomgruppe
5025,Rosse - Røros,Trondheim,11912.0,11912.0,False,Ikke påbegynt,True,False,82.0,ekte_robust_tidlig
1103,Stavanger,Stavanger,13831.0,13831.0,False,Ikke påbegynt,False,False,83.0,fleksibel_mellomgruppe
