Scenario,Mode,Status,Makespan_Mnd,Makespan_Aar,Kartkontor_Maks_Mnd,Kartkontor_Median_Mnd,Kommuner_Omfordelt,Aktive_Kommuner,Solver_Tid_Sek,Variabler,Bibindelser
Basis_85,vektet,Optimal,122,10.17,10,3.0,36,295,686.3,470518,91061
Middels_90,vektet,Optimal,81,6.75,10,3.0,38,295,264.6,314662,62069
Samferdsel_96,vektet,Optimal,33,2.75,10,3.0,39,295,158.0,158806,33077
