KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
1841,Fauske - Fuossko,Bodø,5814.0,5814.0,23.25,2026-09-02,2030-10-09
1845,Sørfold,Bodø,3450.0,3450.0,23.65,2026-08-24,2030-08-14
1848,Steigen,Bodø,4379.0,4379.0,20.27,2026-10-05,2031-03-24
1851,Lødingen,Bodø,2014.0,2014.0,9.78,2026-11-10,2032-01-15
1853,Evenes - Evenášši,Bodø,2823.0,2823.0,8.3,2026-11-16,2032-02-17
1856,Røst,Bodø,455.0,455.0,0.63,2026-11-30,2032-06-18
1857,Værøy,Bodø,187.0,187.0,0.7,2026-11-27,2032-06-11
1859,Flakstad,Bodø,2889.0,2889.0,5.25,2026-11-25,2032-05-20
1860,Vestvågøy,Bodø,4988.0,4988.0,14.15,2026-10-30,2031-10-28
1865,Vågan,Bodø,4309.0,4309.0,12.18,2026-11-05,2031-12-31
1866,Hadsel,Bodø,4661.0,4661.0,16.43,2026-10-26,2031-09-22
1867,Bø,Bodø,1613.0,1210.0,5.64,2026-11-23,2032-04-23
1868,Øksnes,Bodø,2602.0,0.0,0.0,2026-05-01,2026-06-24
1870,Sortland - Suortá,Bodø,4121.0,4121.0,17.65,2026-10-19,2031-06-20
1871,Andøy,Bodø,7827.0,7827.0,22.27,2026-09-10,2031-01-07
1874,Moskenes,Bodø,949.0,949.0,2.53,2026-11-27,2032-06-08
1875,Hábmer - Hamarøy,Bodø,5093.0,5093.0,31.75,2026-08-03,2030-02-11
3101,Halden,Oslo,11913.0,0.0,0.0,2026-05-01,2026-07-08
3103,Moss,Oslo,6581.0,6581.0,8.35,2026-11-25,2032-05-18
3105,Sarpsborg,Oslo,13048.0,13048.0,19.48,2026-10-26,2031-09-05
3107,Fredrikstad,Oslo,14235.0,14235.0,17.97,2026-11-05,2031-12-26
3110,Hvaler,Oslo,4834.0,4834.0,4.87,2026-11-26,2032-05-26
3112,Råde,Oslo,2288.0,0.0,0.0,2026-05-01,2026-07-10
3114,Våler,Oslo,8900.0,8900.0,11.85,2026-11-17,2032-03-11
3116,Skiptvet,Oslo,1677.0,335.0,0.75,2026-11-27,2032-06-02
3118,Indre Østfold,Oslo,15270.0,15270.0,32.53,2026-08-26,2030-09-10
3120,Rakkestad,Oslo,3807.0,190.0,0.69,2026-11-27,2032-06-07
3122,Marker,Oslo,2269.0,0.0,0.0,2026-05-01,2026-07-14
3124,Aremark,Oslo,1483.0,0.0,0.0,2026-05-01,2026-07-15
3201,Bærum,Oslo,10234.0,2047.0,2.57,2027-01-08,2033-01-13
3203,Asker,Oslo,16870.0,16870.0,23.9,2027-01-07,2032-12-21
3205,Lillestrøm,Oslo,10677.0,10677.0,20.33,2026-10-14,2031-05-14
3207,Nordre Follo,Oslo,6990.0,0.0,0.0,2026-05-01,2026-07-23
3209,Ullensaker,Oslo,5340.0,5340.0,12.75,2026-11-12,2032-01-21
3212,Nesodden,Oslo,2953.0,0.0,0.0,2026-05-01,2026-07-28
3214,Frogn,Oslo,4201.0,0.0,0.0,2026-05-01,2026-08-03
3216,Vestby,Oslo,4345.0,0.0,0.0,2026-05-01,2026-08-06
3218,Ås,Oslo,3084.0,0.0,0.0,2026-05-01,2026-08-11
3220,Enebakk,Oslo,4093.0,0.0,0.0,2026-05-01,2026-08-14
3222,Lørenskog,Oslo,2091.0,2091.0,3.28,2026-11-27,2032-05-31
3224,Rælingen,Oslo,3352.0,0.0,0.0,2026-05-01,2026-08-19
3226,Aurskog-Høland,Oslo,10975.0,10975.0,36.7,2026-08-06,2030-03-18
3228,Nes,Oslo,7813.0,7813.0,25.47,2026-09-17,2031-01-16
3230,Gjerdrum,Oslo,1443.0,0.0,0.0,2026-05-01,2026-08-21
3232,Nittedal,Oslo,5357.0,5357.0,11.33,2026-11-24,2032-04-29
3234,Lunner,Oslo,5579.0,0.0,0.0,2026-05-01,2026-08-27
3236,Jevnaker,Oslo,3494.0,0.0,0.0,2026-05-01,2026-09-01
3238,Nannestad,Oslo,4444.0,0.0,0.0,2026-05-01,2026-09-07
3240,Eidsvoll,Oslo,5707.0,0.0,0.0,2026-05-01,2026-09-14
3242,Hurdal,Oslo,4543.0,0.0,0.0,2026-05-01,2026-09-18
3301,Drammen,Oslo,11937.0,11937.0,19.53,2026-10-20,2031-07-04
3303,Kongsberg,Oslo,18936.0,18936.0,40.87,2026-07-16,2029-08-14
3305,Ringerike,Oslo,27311.0,27311.0,68.08,2026-05-20,2027-09-10
3310,Hole,Oslo,3102.0,0.0,0.0,2026-05-01,2026-09-23
3312,Lier,Oslo,6724.0,6724.0,15.43,2026-11-10,2032-01-13
3314,Øvre Eiker,Oslo,6486.0,6486.0,18.4,2026-10-30,2031-10-17
3316,Modum,Oslo,10613.0,10613.0,25.4,2026-09-25,2031-02-11
3318,Krødsherad,Oslo,7775.0,0.0,0.0,2026-05-01,2026-10-01
3320,Flå,Oslo,6856.0,6856.0,23.32,2026-10-08,2031-04-07
3322,Nesbyen,Oslo,11185.0,11185.0,34.28,2026-08-17,2030-06-13
3324,Gol,Oslo,9600.0,9600.0,25.93,2026-09-10,2030-12-30
3326,Hemsedal,Oslo,8110.0,8110.0,23.38,2026-10-01,2031-03-12
3328,Ål,Oslo,16194.0,16194.0,45.85,2026-06-22,2028-12-04
