Prosjektnr,KomNr,Kommune,Kartkontor,Prosjektstatus,Laaseperiode_Start,Laaseperiode_Slutt
LACIVL02,4619,Eidfjord,Bergen,Pågående,2025-10-01,2026-03-31
LACIVL03,4641,Aurland,Bergen,Pågående,2025-06-01,2006-03-31
LACIVL03,4643,Årdal,Bergen,Pågående,2025-06-01,2006-03-31
LACIVL61,4612,Sveio,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4613,Bømlo,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4614,Stord,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4615,Fitjar,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4616,Tysnes,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4625,Austevoll,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL62,4644,Luster,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL62,4647,Sunnfjord,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL63,4651,Stryn,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL64,4601,Bergen,Bergen,Planlagt,2026-06-01,2027-03-31
LACIMR51,1505,Kristiansund,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1554,Averøy,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1557,Gjemnes,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1560,Tingvoll,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1563,Sunndal,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1566,Surnadal,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1573,Smøla,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1576,Aure,Molde,Pågående,2026-01-01,2026-04-30
LACIMR61,1506,Molde,Molde,Planlagt,2026-08-01,2026-12-31
LACIMR61,1535,Vestnes,Molde,Planlagt,2026-08-01,2026-12-31
LACIMR61,1539,Rauma,Molde,Planlagt,2026-08-01,2026-12-31
LACIMR61,1547,Aukra,Molde,Planlagt,2026-08-01,2026-12-31
LACIMR61,1579,Hustadvika,Molde,Planlagt,2026-08-01,2026-12-31
LACIMR63,1506,Molde,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1508,Ålesund,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1511,Vanylven,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1514,Sande,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1515,Herøy,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1516,Ulstein,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1517,Hareid,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1520,Ørsta,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1525,Stranda,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1528,Sykkylven,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1532,Giske,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1535,Vestnes,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1539,Rauma,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1563,Sunndal,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1577,Volda,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1578,Fjord,Molde,Planlagt,2026-06-01,2026-11-30
LACIMR63,1580,Haram,Molde,Planlagt,2026-06-01,2026-11-30
LACITL61,5027,Midtre Gauldal,Trondheim,Planlagt,2026-06-01,2026-12-31
LACITL61,5028,Melhus,Trondheim,Planlagt,2026-06-01,2026-12-31
LACITL61,5029,Skaun,Trondheim,Planlagt,2026-06-01,2026-12-31
LACITL61,5059,Orkland,Trondheim,Planlagt,2026-06-01,2026-12-31
LACINO51,1832,Hemnes,Bodø,Pågående,2026-03-01,2026-05-31
LACINO51,1833,Rana,Bodø,Pågående,2026-03-01,2026-05-31
LACINO51,1834,Lurøy,Bodø,Pågående,2026-03-01,2026-05-31
LACINO51,1837,Meløy,Bodø,Pågående,2026-03-01,2026-05-31
LACINO51,1837,Meløy,Bodø,Pågående,2026-03-01,2026-05-31
LACINO61,1804,Bodø,Bodø,Planlagt,2026-10-01,2027-05-31
LACINO61,1828,Nesna,Bodø,Planlagt,2026-10-01,2027-05-31
LACINO61,1840,Saltdal,Bodø,Planlagt,2026-10-01,2027-05-31
LACINO61,1841,Fauske - Fuossko,Bodø,Planlagt,2026-10-01,2027-05-31
LACINO61,1845,Sørfold,Bodø,Planlagt,2026-10-01,2027-05-31
LACINO62,1804,Bodø,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1822,Leirfjord,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1824,Vefsn,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1827,Dønna,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1828,Nesna,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1832,Hemnes,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1833,Rana,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1834,Lurøy,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1836,Rødøy,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1837,Meløy,Bodø,Planlagt,2026-11-01,2027-06-30
