Konstant,Verdi,Enhet,Beskrivelse
Gjennomsnitt_Min_Per_Km,0.903475,min/km,"Empirisk gjennomsnittlig tidsbruk per km TVS-lenke, utledet fra 58 kartblader. Kilde: fanen ""Tidbruk"" i StatistikkTraktorvegSti"
Grunnpakke_Min_Per_Km2,0.651042,min/km2,Grunnpakke-tillegg for landareal. Brukes sammen med Gjennomsnitt_Min_Per_Km i formelen for Ber_Tidbruk_Min
