KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
1560,Tingvoll,15,Møre og Romsdal,Molde,668.07,322.0,813,2.0,Ikke påbegynt,0.0,5373.0,5373.0,LACIMR51,Pågående,True
1563,Sunndal,15,Møre og Romsdal,Molde,1160.13,1648.0,2121,5.0,Ikke påbegynt,0.0,7848.0,7848.0,"LACIMR51,LACIMR63","Planlagt,Pågående",True
1566,Surnadal,15,Møre og Romsdal,Molde,1257.85,1315.0,1993,5.0,Ikke påbegynt,0.0,7330.0,7330.0,LACIMR51,Pågående,True
1573,Smøla,15,Møre og Romsdal,Molde,194.02,261.0,345,1.0,Ferdig,100.0,1964.0,0.0,LACIMR51,Pågående,True
1576,Aure,15,Møre og Romsdal,Molde,647.43,622.0,990,3.0,Ikke påbegynt,0.0,4577.0,4577.0,LACIMR51,Pågående,True
1577,Volda,15,Møre og Romsdal,Molde,860.16,834.0,1320,3.0,Ferdig,100.0,7345.0,0.0,LACIMR63,Planlagt,True
1578,Fjord,15,Møre og Romsdal,Molde,834.03,1143.0,1498,4.0,Ikke påbegynt,0.0,5931.0,5931.0,LACIMR63,Planlagt,True
1579,Hustadvika,15,Møre og Romsdal,Molde,1033.17,508.0,1264,3.0,Ikke påbegynt,0.0,7743.0,7743.0,LACIMR61,Planlagt,True
1580,Haram,15,Møre og Romsdal,Molde,461.3,254.0,582,2.0,Ikke påbegynt,0.0,4153.0,4153.0,LACIMR63,Planlagt,True
1804,Bodø,18,Nordland,Bodø,1338.85,1311.0,2063,5.0,Ikke påbegynt,0.0,11982.0,11982.0,"LACINO61,LACINO62",Planlagt,True
1806,Narvik,18,Nordland,Bodø,1404.93,3195.0,3349,8.0,Ikke påbegynt,0.0,12335.0,12335.0,,,False
1811,Bindal,18,Nordland,Bodø,391.82,1192.0,1130,3.0,Ikke påbegynt,0.0,2467.0,2467.0,,,False
1812,Sømna,18,Nordland,Bodø,255.87,192.0,356,1.0,Ikke påbegynt,0.0,1993.0,1993.0,,,False
1813,Brønnøy,18,Nordland,Bodø,678.07,999.0,1263,3.0,Ikke påbegynt,0.0,5124.0,5124.0,,,False
1815,Vega,18,Nordland,Bodø,132.77,163.0,226,1.0,Ikke påbegynt,0.0,1249.0,1249.0,,,False
1816,Vevelstad,18,Nordland,Bodø,207.35,516.0,523,2.0,Ikke påbegynt,0.0,1471.0,1471.0,,,False
1818,Herøy,18,Nordland,Bodø,88.32,64.0,121,1.0,Ikke påbegynt,0.0,3933.0,3933.0,,,False
1820,Alstahaug,18,Nordland,Bodø,315.32,187.0,407,1.0,Ikke påbegynt,0.0,3019.0,3019.0,,,False
1822,Leirfjord,18,Nordland,Bodø,297.78,451.0,563,2.0,Ikke påbegynt,0.0,2506.0,2506.0,LACINO62,Planlagt,True
1824,Vefsn,18,Nordland,Bodø,1183.48,1838.0,2266,6.0,Ikke påbegynt,0.0,8559.0,8559.0,LACINO62,Planlagt,True
1825,Grane,18,Nordland,Bodø,666.52,1881.0,1827,5.0,Ikke påbegynt,0.0,4468.0,4468.0,,,False
1826,Aarborte - Hattfjelldal,18,Nordland,Bodø,854.25,2411.0,2341,6.0,Ikke påbegynt,0.0,4610.0,4610.0,,,False
1827,Dønna,18,Nordland,Bodø,175.89,186.0,280,1.0,Ikke påbegynt,0.0,1732.0,1732.0,LACINO62,Planlagt,True
1828,Nesna,18,Nordland,Bodø,207.19,181.0,305,1.0,Ikke påbegynt,0.0,1141.0,1141.0,"LACINO61,LACINO62",Planlagt,True
