KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
3449,Sør-Aurdal,34,Innlandet,Hamar,2160.85,1068.0,2648,6.0,Ikke påbegynt,0.0,13249.0,13249.0,,,False
3450,Etnedal,34,Innlandet,Hamar,929.71,443.0,1128,3.0,Ikke påbegynt,0.0,6276.0,6276.0,LACIIN53,Pågående,True
3451,Nord-Aurdal,34,Innlandet,Hamar,1959.26,849.0,2323,6.0,Ikke påbegynt,0.0,13002.0,13002.0,LACIIN53,Pågående,True
3452,Vestre Slidre,34,Innlandet,Hamar,1298.84,415.0,1444,4.0,Ikke påbegynt,0.0,11716.0,11716.0,,,False
3453,Øystre Slidre,34,Innlandet,Hamar,1273.36,886.0,1727,4.0,Ikke påbegynt,0.0,7995.0,7995.0,,,False
3454,Vang,34,Innlandet,Hamar,1422.38,1309.0,2137,5.0,Ikke påbegynt,0.0,8187.0,8187.0,,,False
3901,Horten,39,Vestfold,Skien,193.77,69.0,220,1.0,Ikke påbegynt,0.0,2273.0,2273.0,LACIVE51,Pågående,True
3903,Holmestrand,39,Vestfold,Skien,1155.14,412.0,1312,3.0,Ikke påbegynt,0.0,8664.0,8664.0,LACIVE51,Pågående,True
3905,Tønsberg,39,Vestfold,Skien,975.43,326.0,1094,3.0,Ikke påbegynt,0.0,10065.0,10065.0,LACIVE51,Pågående,True
3907,Sandefjord,39,Vestfold,Skien,1310.65,414.0,1454,4.0,Ikke påbegynt,0.0,13753.0,13753.0,LACIVE51,Pågående,True
3909,Larvik,39,Vestfold,Skien,2065.11,771.0,2368,6.0,Ikke påbegynt,0.0,20251.0,20251.0,LACIVE51,Pågående,True
3911,Færder,39,Vestfold,Skien,345.38,100.0,377,1.0,Ikke påbegynt,0.0,5132.0,5132.0,LACIVE51,Pågående,True
4001,Porsgrunn,40,Telemark,Skien,652.21,161.0,694,2.0,Påbegynt,0.0,7351.0,7351.0,LACITE61,Planlagt,True
4003,Skien,40,Telemark,Skien,1589.44,719.0,1904,5.0,Ikke påbegynt,0.0,11644.0,11644.0,LACITE61,Planlagt,True
4005,Notodden,40,Telemark,Skien,1383.55,912.0,1844,5.0,Påbegynt,0.0,8977.0,8977.0,,,False
4010,Siljan,40,Telemark,Skien,437.25,202.0,527,2.0,Ikke påbegynt,0.0,2674.0,2674.0,,,False
4012,Bamble,40,Telemark,Skien,516.47,282.0,650,2.0,Ikke påbegynt,0.0,5868.0,5868.0,LACITE61,Planlagt,True
4014,Kragerø,40,Telemark,Skien,713.35,289.0,833,2.0,Ikke påbegynt,0.0,8153.0,8153.0,LACITE61,Planlagt,True
4016,Drangedal,40,Telemark,Skien,1453.62,995.0,1961,5.0,Ikke påbegynt,0.0,9597.0,9597.0,LACITE61,Planlagt,True
4018,Nome,40,Telemark,Skien,708.73,385.0,891,2.0,Ikke påbegynt,0.0,4661.0,4661.0,LACITE61,Planlagt,True
4020,Midt-Telemark,40,Telemark,Skien,1393.38,487.0,1576,4.0,Ferdig,100.0,9207.0,0.0,,,False
4022,Seljord,40,Telemark,Skien,1336.31,669.0,1643,4.0,Ikke påbegynt,0.0,9972.0,9972.0,,,False
4024,Hjartdal,40,Telemark,Skien,1055.66,737.0,1434,4.0,Ikke påbegynt,0.0,8171.0,8171.0,,,False
4026,Tinn,40,Telemark,Skien,2578.3,1848.0,3533,8.0,Ikke påbegynt,0.0,13385.0,13385.0,,,False
4028,Kviteseid,40,Telemark,Skien,907.25,623.0,1225,3.0,Ikke påbegynt,0.0,5611.0,5611.0,,,False
4030,Nissedal,40,Telemark,Skien,960.64,786.0,1380,4.0,Ikke påbegynt,0.0,6540.0,6540.0,,,False
4032,Fyresdal,40,Telemark,Skien,968.84,1107.0,1596,4.0,Ikke påbegynt,0.0,5047.0,5047.0,LACITE52,Pågående,True
4034,Tokke,40,Telemark,Skien,1141.51,905.0,1621,4.0,Ikke påbegynt,0.0,6401.0,6401.0,LACITE52,Pågående,True
4036,Vinje,40,Telemark,Skien,2317.61,2725.0,3868,9.0,Ikke påbegynt,0.0,12380.0,12380.0,LACITE52,Pågående,True
4201,Risør,42,Agder,Kristiansand,644.33,171.0,693,2.0,Ikke påbegynt,0.0,7458.0,7458.0,,,False
4202,Grimstad,42,Agder,Kristiansand,590.11,272.0,710,2.0,Ikke påbegynt,0.0,6512.0,6512.0,,,False
4203,Arendal,42,Agder,Kristiansand,1212.87,255.0,1262,3.0,Ikke påbegynt,0.0,18178.0,18178.0,LACIAG61,Planlagt,True
4204,Kristiansand,42,Agder,Kristiansand,2282.93,610.0,2460,6.0,Ikke påbegynt,0.0,27939.0,27939.0,LACIAG61,Planlagt,True
4205,Lindesnes,42,Agder,Kristiansand,3097.54,883.0,3373,8.0,Ikke påbegynt,0.0,30608.0,30608.0,LACIAG61,Planlagt,True
4206,Farsund,42,Agder,Kristiansand,654.72,252.0,756,2.0,Ikke påbegynt,0.0,8160.0,8160.0,,,False
4207,Flekkefjord,42,Agder,Kristiansand,1088.67,482.0,1297,3.0,Ikke påbegynt,0.0,10002.0,10002.0,LACIAG63,Pågående,True
4211,Gjerstad,42,Agder,Kristiansand,822.19,308.0,943,3.0,Påbegynt,95.0,5328.0,266.0,,,False
4212,Vegårshei,42,Agder,Kristiansand,1046.56,322.0,1155,3.0,Ikke påbegynt,0.0,8548.0,8548.0,,,False
4213,Tvedestrand,42,Agder,Kristiansand,816.78,212.0,876,2.0,Ikke påbegynt,0.0,8806.0,8806.0,,,False
4214,Froland,42,Agder,Kristiansand,912.82,601.0,1216,3.0,Påbegynt,95.0,6254.0,313.0,,,False
4215,Lillesand,42,Agder,Kristiansand,496.92,180.0,566,2.0,Påbegynt,0.0,6111.0,6111.0,,,False
4216,Birkenes,42,Agder,Kristiansand,1321.88,596.0,1582,4.0,Ikke påbegynt,0.0,10577.0,10577.0,,,False
4217,Åmli,42,Agder,Kristiansand,1349.34,1058.0,1908,5.0,Ikke påbegynt,0.0,8190.0,8190.0,,,False
4218,Iveland,42,Agder,Kristiansand,488.62,246.0,602,2.0,Påbegynt,80.0,3446.0,689.0,,,False
4219,Evje og Hornnes,42,Agder,Kristiansand,936.03,549.0,1203,3.0,Ikke påbegynt,0.0,7758.0,7758.0,LACIAG61,Planlagt,True
4220,Bygland,42,Agder,Kristiansand,1148.18,1150.0,1786,4.0,Ikke påbegynt,0.0,7574.0,7574.0,,,False
4221,Valle,42,Agder,Kristiansand,1163.01,1130.0,1786,4.0,Ikke påbegynt,0.0,7136.0,7136.0,LACIAG63,Pågående,True
4222,Bykle,42,Agder,Kristiansand,633.15,1254.0,1388,4.0,Ikke påbegynt,0.0,4958.0,4958.0,"LACIAG61,LACIAG63","Planlagt,Pågående",True
4223,Vennesla,42,Agder,Kristiansand,1082.58,362.0,1214,3.0,Påbegynt,90.0,10530.0,1053.0,LACIAG61,Planlagt,True
4224,Åseral,42,Agder,Kristiansand,691.46,797.0,1144,3.0,Ikke påbegynt,0.0,5558.0,5558.0,LACIAG61,Planlagt,True
4225,Lyngdal,42,Agder,Kristiansand,1390.63,606.0,1651,4.0,Ikke påbegynt,0.0,13449.0,13449.0,LACIAG61,Planlagt,True
4226,Hægebostad,42,Agder,Kristiansand,671.59,424.0,883,2.0,Ferdig,100.0,5244.0,0.0,,,False
4227,Kvinesdal,42,Agder,Kristiansand,1347.36,886.0,1794,4.0,Ikke påbegynt,0.0,10186.0,10186.0,,,False
4228,Sirdal,42,Agder,Kristiansand,1082.7,1373.0,1872,5.0,Ikke påbegynt,0.0,8126.0,8126.0,LACIAG63,Pågående,True
4601,Bergen,46,Vestland,Bergen,1711.47,445.0,1836,5.0,Ikke påbegynt,0.0,30466.0,30466.0,LACIVL64,Planlagt,True
4602,Kinn,46,Vestland,Bergen,954.96,763.0,1360,4.0,Ikke påbegynt,0.0,9385.0,9385.0,LACHVL39,Planlagt,True
4611,Etne,46,Vestland,Bergen,1158.58,691.0,1497,4.0,Ikke påbegynt,0.0,10118.0,10118.0,,,False
4612,Sveio,46,Vestland,Bergen,690.69,224.0,770,2.0,Ikke påbegynt,0.0,8328.0,8328.0,LACIVL61,Planlagt,True
4613,Bømlo,46,Vestland,Bergen,567.12,236.0,666,2.0,Påbegynt,70.0,6759.0,2028.0,LACIVL61,Planlagt,True
4614,Stord,46,Vestland,Bergen,470.6,137.0,514,2.0,Ikke påbegynt,0.0,5301.0,5301.0,LACIVL61,Planlagt,True
4615,Fitjar,46,Vestland,Bergen,439.6,135.0,485,2.0,Ferdig,100.0,4648.0,0.0,LACIVL61,Planlagt,True
4616,Tysnes,46,Vestland,Bergen,640.2,245.0,738,2.0,Ferdig,100.0,7572.0,0.0,LACIVL61,Planlagt,True
4617,Kvinnherad,46,Vestland,Bergen,1118.43,1042.0,1689,4.0,Ikke påbegynt,0.0,8939.0,8939.0,,,False
4618,Ullensvang,46,Vestland,Bergen,2631.96,2962.0,4306,10.0,Ikke påbegynt,0.0,18650.0,18650.0,,,False
4619,Eidfjord,46,Vestland,Bergen,1132.6,1388.0,1927,5.0,Ikke påbegynt,0.0,5017.0,5017.0,LACIVL02,Pågående,True
4620,Ulvik,46,Vestland,Bergen,493.29,663.0,877,2.0,Ikke påbegynt,0.0,2743.0,2743.0,,,False
4621,Voss,46,Vestland,Bergen,2587.84,1958.0,3613,9.0,Ikke påbegynt,0.0,23191.0,23191.0,,,False
4622,Kvam,46,Vestland,Bergen,1250.23,580.0,1507,4.0,Ikke påbegynt,0.0,11908.0,11908.0,,,False
4623,Samnanger,46,Vestland,Bergen,320.94,257.0,457,2.0,Ikke påbegynt,0.0,2675.0,2675.0,,,False
4624,Bjørnafjorden,46,Vestland,Bergen,975.99,487.0,1199,3.0,Ikke påbegynt,0.0,10297.0,10297.0,,,False
4625,Austevoll,46,Vestland,Bergen,210.14,114.0,264,1.0,Ferdig,100.0,2012.0,0.0,LACIVL61,Planlagt,True
4626,Øygarden,46,Vestland,Bergen,971.5,300.0,1073,3.0,Ikke påbegynt,0.0,11226.0,11226.0,,,False
4627,Askøy,46,Vestland,Bergen,416.14,94.0,437,2.0,Ikke påbegynt,0.0,5218.0,5218.0,,,False
4628,Vaksdal,46,Vestland,Bergen,564.92,682.0,954,3.0,Ikke påbegynt,0.0,4528.0,4528.0,LACIVL01,Pågående,True
4629,Modalen,46,Vestland,Bergen,247.66,379.0,470,2.0,Ferdig,100.0,1428.0,0.0,LACHVL39,Planlagt,True
4630,Osterøy,46,Vestland,Bergen,801.64,244.0,883,2.0,Ikke påbegynt,0.0,8960.0,8960.0,LACIVL01,Pågående,True
4631,Alver,46,Vestland,Bergen,1977.05,651.0,2210,5.0,Ikke påbegynt,0.0,27783.0,27783.0,LACIVL01,Pågående,True
4632,Austrheim,46,Vestland,Bergen,207.18,57.0,224,1.0,Ikke påbegynt,0.0,3305.0,3305.0,,,False
4633,Fedje,46,Vestland,Bergen,46.72,9.0,48,1.0,Ferdig,100.0,778.0,0.0,,,False
4634,Masfjorden,46,Vestland,Bergen,503.95,509.0,787,2.0,Ikke påbegynt,0.0,4590.0,4590.0,LACIVL01,Pågående,True
4635,Gulen,46,Vestland,Bergen,391.6,577.0,729,2.0,Ikke påbegynt,0.0,4082.0,4082.0,LACIVL01,Pågående,True
4636,Solund,46,Vestland,Bergen,135.6,219.0,265,1.0,Ikke påbegynt,0.0,1189.0,1189.0,,,False
4637,Hyllestad,46,Vestland,Bergen,417.78,248.0,539,2.0,Ikke påbegynt,0.0,3011.0,3011.0,,,False
4638,Høyanger,46,Vestland,Bergen,571.42,928.0,1120,3.0,Ikke påbegynt,0.0,3476.0,3476.0,LACHVL39,Planlagt,True
4639,Vik,46,Vestland,Bergen,856.15,795.0,1291,3.0,Ikke påbegynt,0.0,4624.0,4624.0,LACHVL39,Planlagt,True
4640,Sogndal,46,Vestland,Bergen,1377.92,1229.0,2045,5.0,Ikke påbegynt,0.0,9640.0,9640.0,LACHVL39,Planlagt,True
4641,Aurland,46,Vestland,Bergen,951.96,1376.0,1756,4.0,Ikke påbegynt,0.0,4599.0,4599.0,"LACHVL39,LACIVL03","Planlagt,Pågående",True
4642,Lærdal,46,Vestland,Bergen,672.49,1275.0,1438,4.0,Ikke påbegynt,0.0,3598.0,3598.0,LACHVL39,Planlagt,True
4643,Årdal,46,Vestland,Bergen,562.88,930.0,1114,3.0,Ikke påbegynt,0.0,2758.0,2758.0,LACIVL03,Pågående,True
4644,Luster,46,Vestland,Bergen,1476.41,2597.0,3025,7.0,Påbegynt,25.0,6200.0,4650.0,LACIVL62,Planlagt,True
4645,Askvoll,46,Vestland,Bergen,533.13,313.0,685,2.0,Ikke påbegynt,0.0,4575.0,4575.0,,,False
4646,Fjaler,46,Vestland,Bergen,502.55,390.0,708,2.0,Ikke påbegynt,0.0,3672.0,3672.0,,,False
4647,Sunnfjord,46,Vestland,Bergen,2735.56,2065.0,3816,9.0,Ikke påbegynt,0.0,22959.0,22959.0,"LACHVL39,LACIVL62",Planlagt,True
4648,Bremanger,46,Vestland,Bergen,675.68,786.0,1122,3.0,Ikke påbegynt,0.0,4648.0,4648.0,LACHVL39,Planlagt,True
4649,Stad,46,Vestland,Bergen,1437.14,695.0,1751,4.0,Ikke påbegynt,0.0,12853.0,12853.0,LACHVL39,Planlagt,True
4650,Gloppen,46,Vestland,Bergen,932.87,963.0,1470,4.0,Ikke påbegynt,0.0,7841.0,7841.0,LACHVL39,Planlagt,True
4651,Stryn,46,Vestland,Bergen,1075.74,1326.0,1835,5.0,Ikke påbegynt,0.0,7377.0,7377.0,"LACHVL39,LACIVL63",Planlagt,True
5001,Trondheim - Tråante,50,Trøndelag,Trondheim,1618.92,496.0,1786,4.0,Ikke påbegynt,0.0,20525.0,20525.0,,,False
5006,Steinkjer,50,Trøndelag,Trondheim,2724.54,1937.0,3723,9.0,Ferdig,100.0,15485.0,0.0,,,False
5007,Namsos - Nåavmesjenjaelmie,50,Trøndelag,Trondheim,1628.75,1998.0,2772,7.0,Ferdig,100.0,9057.0,0.0,,,False
5014,Frøya,50,Trøndelag,Trondheim,489.91,230.0,592,2.0,Ferdig,100.0,6058.0,0.0,,,False
5020,Osen,50,Trøndelag,Trondheim,335.79,370.0,544,2.0,Ferdig,100.0,2487.0,0.0,,,False
5021,Oppdal,50,Trøndelag,Trondheim,3520.02,2201.0,4613,11.0,Ikke påbegynt,0.0,37049.0,37049.0,,,False
5022,Rennebu,50,Trøndelag,Trondheim,1297.5,924.0,1774,4.0,Ferdig,100.0,9074.0,0.0,,,False
5025,Rosse - Røros,50,Trøndelag,Trondheim,2140.76,1756.0,3077,7.0,Ikke påbegynt,0.0,11912.0,11912.0,,,False
5026,Holtålen,50,Trøndelag,Trondheim,1032.47,1171.0,1695,4.0,Ikke påbegynt,0.0,6292.0,6292.0,,,False
5027,Midtre Gauldal,50,Trøndelag,Trondheim,1978.38,1803.0,2961,7.0,Ikke påbegynt,0.0,13652.0,13652.0,LACITL61,Planlagt,True
5028,Melhus,50,Trøndelag,Trondheim,1118.2,653.0,1435,4.0,Ikke påbegynt,0.0,7720.0,7720.0,LACITL61,Planlagt,True
5029,Skaun,50,Trøndelag,Trondheim,537.69,213.0,624,2.0,Ikke påbegynt,0.0,4079.0,4079.0,LACITL61,Planlagt,True
5031,Malvik,50,Trøndelag,Trondheim,405.44,162.0,472,2.0,Ferdig,100.0,3146.0,0.0,,,False
5032,Selbu,50,Trøndelag,Trondheim,1028.79,1140.0,1672,4.0,Ikke påbegynt,0.0,6104.0,6104.0,,,False
5033,Tydal,50,Trøndelag,Trondheim,1260.27,1217.0,1931,5.0,Ikke påbegynt,0.0,9999.0,9999.0,,,False
5034,Meråker,50,Trøndelag,Trondheim,1156.53,1188.0,1818,5.0,Ikke påbegynt,0.0,7116.0,7116.0,,,False
5035,Stjørdal,50,Trøndelag,Trondheim,1854.39,913.0,2270,6.0,Ikke påbegynt,0.0,13808.0,13808.0,,,False
5036,Frosta,50,Trøndelag,Trondheim,248.35,74.0,273,1.0,Ferdig,100.0,2623.0,0.0,,,False
5037,Levanger,50,Trøndelag,Trondheim,1422.45,610.0,1682,4.0,Ferdig,100.0,12304.0,0.0,,,False
5038,Verdal,50,Trøndelag,Trondheim,1452.89,1475.0,2273,6.0,Påbegynt,25.0,9686.0,7264.0,,,False
5041,Snåase - Snåsa,50,Trøndelag,Trondheim,1182.67,2146.0,2466,6.0,Ikke påbegynt,0.0,5861.0,5861.0,,,False
5042,Lierne,50,Trøndelag,Trondheim,815.32,2630.0,2449,6.0,Ikke påbegynt,0.0,2972.0,2972.0,,,False
5043,Raarvihke - Røyrvik,50,Trøndelag,Trondheim,188.27,1330.0,1036,3.0,Ikke påbegynt,0.0,772.0,772.0,,,False
5044,Namsskogan,50,Trøndelag,Trondheim,407.16,1353.0,1249,3.0,Ikke påbegynt,0.0,2245.0,2245.0,,,False
5045,Grong,50,Trøndelag,Trondheim,917.3,1095.0,1542,4.0,Ikke påbegynt,0.0,4904.0,4904.0,,,False
5046,Høylandet,50,Trøndelag,Trondheim,357.95,703.0,781,2.0,Ikke påbegynt,0.0,2199.0,2199.0,,,False
5047,Overhalla,50,Trøndelag,Trondheim,625.24,689.0,1013,3.0,Ikke påbegynt,0.0,3968.0,3968.0,,,False
5049,Flatanger,50,Trøndelag,Trondheim,207.09,434.0,470,2.0,Påbegynt,2.0,1418.0,1390.0,,,False
5052,Leka,50,Trøndelag,Trondheim,110.9,108.0,171,1.0,Ferdig,100.0,743.0,0.0,,,False
5053,Inderøy,50,Trøndelag,Trondheim,917.64,351.0,1058,3.0,Ikke påbegynt,0.0,7306.0,7306.0,,,False
5054,Indre Fosen,50,Trøndelag,Trondheim,1648.98,1030.0,2160,5.0,Ikke påbegynt,0.0,9918.0,9918.0,,,False
5055,Heim,50,Trøndelag,Trondheim,1264.49,980.0,1780,4.0,Ikke påbegynt,0.0,10013.0,10013.0,,,False
5056,Hitra,50,Trøndelag,Trondheim,833.69,715.0,1219,3.0,Påbegynt,0.0,8759.0,8759.0,,,False
5057,Ørland,50,Trøndelag,Trondheim,526.37,429.0,755,2.0,Ferdig,100.0,3888.0,0.0,,,False
5058,Åfjord,50,Trøndelag,Trondheim,1098.51,1251.0,1807,5.0,Ikke påbegynt,0.0,8387.0,8387.0,,,False
5059,Orkland,50,Trøndelag,Trondheim,2510.04,1818.0,3451,8.0,Ikke påbegynt,0.0,21540.0,21540.0,LACITL61,Planlagt,True
5060,Nærøysund,50,Trøndelag,Trondheim,1036.25,1286.0,1773,4.0,Ferdig,0.0,7867.0,7867.0,,,False
5061,Rindal,50,Trøndelag,Trondheim,680.39,612.0,1013,3.0,Ikke påbegynt,0.0,4368.0,4368.0,,,False
5501,Tromsø,55,Troms,Tromsø,2442.24,2472.0,3816,9.0,Ikke påbegynt,0.0,27947.0,27947.0,"LACHTF51,LACITF61","Planlagt,Pågående",True
5503,Harstad - Hárstták,55,Troms,Tromsø,1503.82,428.0,1637,4.0,Ikke påbegynt,0.0,16861.0,16861.0,LACHTF51,Pågående,True
5510,Kvæfjord,55,Troms,Tromsø,732.98,497.0,986,3.0,Ferdig,100.0,5849.0,0.0,,,False
5512,Dielddanuorri - Tjeldsund,55,Troms,Tromsø,1053.13,775.0,1456,4.0,Ikke påbegynt,0.0,8058.0,8058.0,,,False
5514,Ibestad,55,Troms,Tromsø,408.08,234.0,521,2.0,Påbegynt,0.0,3259.0,3259.0,,,False
5516,Gratangen,55,Troms,Tromsø,299.02,306.0,469,2.0,Ikke påbegynt,0.0,2092.0,2092.0,LACHTF51,Pågående,True
5518,Loabák - Lavangen,55,Troms,Tromsø,263.07,296.0,430,2.0,Ikke påbegynt,0.0,1546.0,1546.0,LACHTF51,Pågående,True
5520,Bardu,55,Troms,Tromsø,1106.08,2514.0,2636,6.0,Ikke påbegynt,0.0,6502.0,6502.0,LACHTF51,Pågående,True
5522,Salangen,55,Troms,Tromsø,477.39,438.0,716,2.0,Ikke påbegynt,0.0,2841.0,2841.0,LACHTF51,Pågående,True
5524,Målselv,55,Troms,Tromsø,2449.13,3203.0,4298,10.0,Påbegynt,90.0,14811.0,1481.0,,,False
5526,Sørreisa,55,Troms,Tromsø,449.73,347.0,632,2.0,Ikke påbegynt,0.0,3369.0,3369.0,,,False
5528,Dyrøy,55,Troms,Tromsø,305.35,277.0,456,2.0,Påbegynt,90.0,1965.0,196.0,,,False
5530,Senja,55,Troms,Tromsø,2138.08,1861.0,3143,8.0,Ikke påbegynt,0.0,17646.0,17646.0,,,False
5532,Balsfjord,55,Troms,Tromsø,2010.49,1440.0,2754,7.0,Påbegynt,90.0,13047.0,1305.0,,,False
5534,Karlsøy,55,Troms,Tromsø,907.04,1051.0,1504,4.0,Ikke påbegynt,0.0,5355.0,5355.0,,,False
5536,Lyngen,55,Troms,Tromsø,631.47,795.0,1088,3.0,Ikke påbegynt,0.0,4562.0,4562.0,LACITF61,Planlagt,True
5538,Storfjord - Omasvuotna - Omasvuono,55,Troms,Tromsø,773.97,1477.0,1661,4.0,Ferdig,100.0,3674.0,0.0,,,False
5540,Gáivuotna - Kåfjord - Kaivuono,55,Troms,Tromsø,495.91,950.0,1067,3.0,Ferdig,100.0,2539.0,0.0,LACITF61,Planlagt,True
5542,Skjervøy,55,Troms,Tromsø,393.16,465.0,658,2.0,Påbegynt,90.0,2218.0,222.0,LACITF61,Planlagt,True
5544,Nordreisa - Ráisa - Raisi,55,Troms,Tromsø,1127.31,3334.0,3189,8.0,Ikke påbegynt,0.0,4821.0,4821.0,,,False
5546,Kvænangen,55,Troms,Tromsø,719.15,2008.0,1957,5.0,Ikke påbegynt,0.0,4328.0,4328.0,,,False
5601,Alta,56,Finnmark,Tromsø,2416.34,3651.0,4560,11.0,Påbegynt,4.0,17457.0,16759.0,,,False
5603,Hammerfest - Hámmerfeasta,56,Finnmark,Tromsø,1125.7,2558.0,2682,6.0,Ikke påbegynt,0.0,6601.0,6601.0,,,False
5605,Sør-Varanger,56,Finnmark,Tromsø,1589.23,3459.0,3688,9.0,Ikke påbegynt,0.0,7082.0,7082.0,,,False
5607,Vadsø,56,Finnmark,Tromsø,1001.43,1233.0,1708,4.0,Ikke påbegynt,0.0,5170.0,5170.0,,,False
5610,Kárášjohka - Karasjok,56,Finnmark,Tromsø,2643.28,5211.0,5781,13.0,Ikke påbegynt,0.0,8565.0,8565.0,,,False
5612,Guovdageaidnu - Kautokeino,56,Finnmark,Tromsø,5442.12,8972.0,10758,24.0,Ikke påbegynt,0.0,19267.0,19267.0,,,False
5614,Loppa,56,Finnmark,Tromsø,289.52,671.0,698,2.0,Ikke påbegynt,0.0,1446.0,1446.0,,,False
5616,Hasvik,56,Finnmark,Tromsø,239.66,534.0,564,2.0,Ikke påbegynt,0.0,1313.0,1313.0,,,False
5618,Måsøy,56,Finnmark,Tromsø,466.75,1068.0,1117,3.0,Ikke påbegynt,0.0,1802.0,1802.0,,,False
5620,Nordkapp,56,Finnmark,Tromsø,442.81,892.0,981,3.0,Ikke påbegynt,0.0,1716.0,1716.0,LACITF61,Planlagt,True
5622,Porsanger - Porsáŋgu - Porsanki,56,Finnmark,Tromsø,2459.11,4641.0,5243,12.0,Ikke påbegynt,0.0,9568.0,9568.0,LACITF61,Planlagt,True
5624,Lebesby,56,Finnmark,Tromsø,629.42,3231.0,2672,6.0,Påbegynt,0.0,3191.0,3191.0,,,False
5626,Gamvik,56,Finnmark,Tromsø,240.08,1355.0,1099,3.0,Ferdig,100.0,945.0,0.0,,,False
5628,Deatnu - Tana,56,Finnmark,Tromsø,2067.93,3832.0,4363,10.0,Ikke påbegynt,0.0,9359.0,9359.0,,,False
5630,Berlevåg,56,Finnmark,Tromsø,328.46,1083.0,1002,3.0,Ferdig,100.0,1390.0,0.0,,,False
5632,Båtsfjord,56,Finnmark,Tromsø,228.2,1417.0,1129,3.0,Ferdig,100.0,1337.0,0.0,,,False
5634,Vardø,56,Finnmark,Tromsø,221.56,585.0,581,2.0,Ferdig,100.0,1053.0,0.0,,,False
5636,Unjárga - Nesseby,56,Finnmark,Tromsø,1030.16,1363.0,1818,5.0,Ikke påbegynt,0.0,3635.0,3635.0,,,False
