Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,3407,500,2259,2772,3304
Basis_85,3411,500,2545,3007,3549
Basis_85,3412,500,2574,3036,3573
Basis_85,3413,500,1118,1410,1775
Basis_85,3414,500,144,171,200
Basis_85,3415,500,150,178,208
Basis_85,3416,500,154,182,215
Basis_85,3417,500,159,188,222
Basis_85,3418,500,165,195,229
Basis_85,3419,500,2572,3033,3570
Basis_85,3420,500,2554,3017,3547
Basis_85,3421,500,2533,2994,3531
Basis_85,3422,500,2516,2966,3497
Basis_85,3423,500,2432,2897,3430
Basis_85,3424,500,1470,1802,2485
Basis_85,3425,500,2439,2908,3420
Basis_85,3426,500,2463,2923,3433
Basis_85,3427,500,1574,2178,2992
Basis_85,3428,500,1735,2414,3184
Basis_85,3429,500,2445,2910,3451
Basis_85,3430,500,2468,2928,3447
Basis_85,3431,500,1735,2490,3182
Basis_85,3432,500,1741,2355,3084
Basis_85,3433,500,1857,2524,3163
Basis_85,3434,500,1948,2458,3161
Basis_85,3435,500,1857,2491,3168
Basis_85,3436,500,1722,2430,3178
Basis_85,3437,500,1724,2482,3198
Basis_85,3438,500,2055,2708,3311
Basis_85,3439,500,426,738,1321
Basis_85,3440,500,612,1170,1609
Basis_85,3441,500,439,936,1410
Basis_85,3442,500,1921,2443,2884
Basis_85,3443,500,2061,2478,2916
Basis_85,3446,500,752,1270,1673
Basis_85,3447,500,796,2399,2861
Basis_85,3448,500,2196,2628,3189
Basis_85,3449,500,454,998,1441
Basis_85,3450,500,2370,2827,3364
Basis_85,3451,500,1796,2512,3143
Basis_85,3452,500,716,1259,1658
Basis_85,3453,500,664,1205,1630
Basis_85,3454,500,489,1094,1518
Basis_85,3901,500,2314,2757,3254
Basis_85,3903,500,2202,2649,3121
Basis_85,3905,500,2243,2659,3149
Basis_85,3907,500,2202,2621,3111
Basis_85,3909,500,2161,2575,3044
Basis_85,3911,500,2307,2742,3246
Basis_85,4001,500,2253,2715,3223
Basis_85,4003,500,2153,2577,3073
Basis_85,4005,500,352,546,829
Basis_85,4010,500,559,732,1005
Basis_85,4012,500,2284,2714,3223
Basis_85,4014,500,2250,2693,3191
Basis_85,4016,500,2165,2574,3064
Basis_85,4018,500,2243,2683,3171
Basis_85,4020,500,173,206,243
Basis_85,4022,500,374,572,822
Basis_85,4024,500,418,609,882
Basis_85,4026,500,321,398,578
Basis_85,4028,500,433,640,914
Basis_85,4030,500,417,622,878
Basis_85,4032,500,2183,2608,3112
Basis_85,4034,500,2187,2595,3073
Basis_85,4036,500,2089,2488,2966
Basis_85,4201,500,615,880,1148
Basis_85,4202,500,606,871,1132
Basis_85,4203,500,1717,2107,2572
Basis_85,4204,500,1621,2006,2450
Basis_85,4205,500,1602,1950,2363
Basis_85,4206,500,583,860,1097
Basis_85,4207,500,986,1215,1477
Basis_85,4211,500,782,984,1225
Basis_85,4212,500,398,735,1062
Basis_85,4213,500,493,831,1111
Basis_85,4214,500,781,979,1216
Basis_85,4215,500,676,910,1172
Basis_85,4216,500,355,619,998
Basis_85,4217,500,326,523,831
Basis_85,4218,500,769,971,1204
Basis_85,4219,500,1732,2112,2566
Basis_85,4220,500,340,537,907
Basis_85,4221,500,948,1172,1438
Basis_85,4222,500,1458,1746,2089
Basis_85,4223,500,1838,2199,2639
Basis_85,4224,500,1720,2135,2537
Basis_85,4225,500,1684,2062,2505
Basis_85,4226,500,179,213,250
Basis_85,4227,500,340,557,902
Basis_85,4228,500,943,1155,1441
Basis_85,4601,500,2244,2866,3464
Basis_85,4602,500,1004,2818,3457
Basis_85,4611,500,906,1356,1700
Basis_85,4612,500,2484,2975,3553
Basis_85,4613,500,2522,3009,3589
Basis_85,4614,500,2512,2994,3577
Basis_85,4615,500,182,217,257
Basis_85,4616,500,192,227,266
Basis_85,4617,500,888,1303,1683
Basis_85,4618,500,383,605,1041
Basis_85,4619,500,766,1214,1587
Basis_85,4620,500,1187,1483,1798
Basis_85,4621,500,410,752,1263
Basis_85,4622,500,905,1348,1722
Basis_85,4623,500,1284,1559,1881
Basis_85,4624,500,1060,1432,1747
Basis_85,4625,500,193,229,270
Basis_85,4626,500,1038,1447,1795
Basis_85,4627,500,1299,1566,1887
Basis_85,4628,500,2296,2729,3219
Basis_85,4629,500,194,230,272
Basis_85,4630,500,2305,2740,3239
Basis_85,4631,500,2274,2702,3189
Basis_85,4632,500,1307,1593,1907
Basis_85,4633,500,195,231,272
Basis_85,4634,500,2314,2749,3246
Basis_85,4635,500,2316,2747,3245
Basis_85,4636,500,1308,1587,1901
Basis_85,4637,500,1264,1548,1875
Basis_85,4638,500,2144,2909,3482
Basis_85,4639,500,1111,2826,3442
Basis_85,4640,500,684,1185,3188
Basis_85,4641,500,857,2241,3252
Basis_85,4642,500,1055,2792,3422
Basis_85,4643,500,1159,1433,1739
Basis_85,4644,500,599,1078,3031
Basis_85,4645,500,1245,1522,1833
Basis_85,4646,500,1244,1515,1847
Basis_85,4647,500,390,689,1166
Basis_85,4648,500,1160,2898,3482
Basis_85,4649,500,732,2391,3345
Basis_85,4650,500,956,2774,3435
Basis_85,4651,500,809,1377,3286
Basis_85,5001,500,621,1208,1686
Basis_85,5006,500,210,250,294
Basis_85,5007,500,221,262,307
Basis_85,5014,500,227,269,315
Basis_85,5020,500,229,271,320
Basis_85,5021,500,373,521,1048
Basis_85,5022,500,237,283,333
Basis_85,5025,500,387,767,1334
Basis_85,5026,500,847,1222,1607
Basis_85,5027,500,410,2339,2860
Basis_85,5028,500,2027,2474,2909
Basis_85,5029,500,2083,2488,2929
Basis_85,5031,500,242,286,336
Basis_85,5032,500,851,1230,1606
Basis_85,5033,500,703,1165,1565
Basis_85,5034,500,768,1186,1567
Basis_85,5035,500,507,998,1512
Basis_85,5036,500,243,290,341
Basis_85,5037,500,256,304,357
Basis_85,5038,500,719,1210,1592
Basis_85,5041,500,502,920,1344
Basis_85,5042,500,577,915,1257
Basis_85,5043,500,1194,1468,1762
Basis_85,5044,500,1077,1392,1684
Basis_85,5045,500,921,1275,1620
Basis_85,5046,500,1238,1519,1833
Basis_85,5047,500,1109,1464,1789
Basis_85,5049,500,1286,1557,1869
Basis_85,5052,500,257,305,360
Basis_85,5053,500,1056,1433,1795
Basis_85,5054,500,522,1059,1532
Basis_85,5055,500,746,1189,1622
Basis_85,5056,500,990,1392,1741
Basis_85,5057,500,262,309,364
Basis_85,5058,500,731,1187,1592
Basis_85,5059,500,380,2210,2821
Basis_85,5060,500,269,319,376
Basis_85,5061,500,1132,1458,1763
Basis_85,5501,500,2623,3111,3664
Basis_85,5503,500,2036,2442,2926
Basis_85,5510,500,276,326,384
Basis_85,5512,500,1740,2175,2631
