KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
1841,Fauske - Fuossko,Bodø,5814.0,5814.0,46.5,2027-08-19,2034-08-28
1845,Sørfold,Bodø,3450.0,3450.0,47.3,2027-06-21,2034-02-14
1848,Steigen,Bodø,4379.0,4379.0,40.53,2027-01-20,2031-10-10
1851,Lødingen,Bodø,2014.0,2014.0,19.57,2027-04-08,2033-03-09
1853,Evenes - Evenášši,Bodø,2823.0,2823.0,16.6,2027-04-23,2033-05-03
1856,Røst,Bodø,455.0,455.0,1.27,2027-05-24,2033-10-13
1857,Værøy,Bodø,187.0,187.0,1.4,2027-05-21,2033-10-13
1859,Flakstad,Bodø,2889.0,2889.0,10.5,2027-05-14,2033-07-25
1860,Vestvågøy,Bodø,4988.0,4988.0,28.3,2027-03-19,2032-12-01
1865,Vågan,Bodø,4309.0,4309.0,24.37,2027-03-31,2033-02-08
1866,Hadsel,Bodø,4661.0,4661.0,32.87,2027-03-08,2032-08-31
1867,Bø,Bodø,1613.0,1210.0,11.28,2027-05-10,2033-06-24
1868,Øksnes,Bodø,2602.0,0.0,0.0,2026-05-01,2026-07-03
1870,Sortland - Suortá,Bodø,4121.0,4121.0,35.3,2027-02-22,2032-06-15
1871,Andøy,Bodø,7827.0,7827.0,44.53,2026-12-15,2031-03-04
1874,Moskenes,Bodø,949.0,949.0,5.07,2027-05-19,2033-08-11
1875,Hábmer - Hamarøy,Bodø,5093.0,5093.0,63.5,2026-10-29,2030-06-21
3101,Halden,Oslo,11913.0,0.0,0.0,2026-05-01,2026-07-20
3103,Moss,Oslo,6581.0,6581.0,16.7,2027-08-31,2034-10-11
3105,Sarpsborg,Oslo,13048.0,13048.0,38.97,2027-06-22,2034-03-06
3107,Fredrikstad,Oslo,14235.0,14235.0,35.93,2027-07-15,2034-05-02
3110,Hvaler,Oslo,4834.0,4834.0,9.73,2027-09-02,2034-10-18
3112,Råde,Oslo,2288.0,0.0,0.0,2026-05-01,2026-07-23
3114,Våler,Oslo,8900.0,8900.0,23.7,2027-08-11,2034-08-02
3116,Skiptvet,Oslo,1677.0,335.0,1.5,2027-09-07,2034-11-20
3118,Indre Østfold,Oslo,15270.0,15270.0,65.07,2027-01-20,2031-10-03
3120,Rakkestad,Oslo,3807.0,190.0,1.37,2027-09-08,2034-11-24
3122,Marker,Oslo,2269.0,0.0,0.0,2026-05-01,2026-07-27
3124,Aremark,Oslo,1483.0,0.0,0.0,2026-05-01,2026-07-29
3201,Bærum,Oslo,10234.0,2047.0,5.15,2027-09-07,2034-11-16
3203,Asker,Oslo,16870.0,16870.0,47.8,2027-04-14,2033-03-31
3205,Lillestrøm,Oslo,10677.0,10677.0,40.67,2027-05-27,2033-10-28
3207,Nordre Follo,Oslo,6990.0,0.0,0.0,2026-05-01,2026-08-07
3209,Ullensaker,Oslo,5340.0,5340.0,25.5,2027-08-03,2034-07-03
3212,Nesodden,Oslo,2953.0,0.0,0.0,2026-05-01,2026-08-11
3214,Frogn,Oslo,4201.0,0.0,0.0,2026-05-01,2026-08-18
3216,Vestby,Oslo,4345.0,0.0,0.0,2026-05-01,2026-08-24
3218,Ås,Oslo,3084.0,0.0,0.0,2026-05-01,2026-08-27
3220,Enebakk,Oslo,4093.0,0.0,0.0,2026-05-01,2026-09-02
3222,Lørenskog,Oslo,2091.0,2091.0,6.57,2027-09-06,2034-11-02
3224,Rælingen,Oslo,3352.0,0.0,0.0,2026-05-01,2026-09-08
3226,Aurskog-Høland,Oslo,10975.0,10975.0,73.4,2026-12-08,2031-01-23
