KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
1845,Sørfold,Bodø,3450.0,3450.0,23.65,2026-09-15,2029-08-21
1848,Steigen,Bodø,4379.0,4379.0,20.27,2026-11-05,2030-04-30
1851,Lødingen,Bodø,2014.0,2014.0,9.78,2026-12-16,2030-11-27
1853,Evenes - Evenášši,Bodø,2823.0,2823.0,8.3,2026-12-24,2031-01-03
1856,Røst,Bodø,455.0,455.0,0.63,2027-01-08,2031-03-11
1857,Værøy,Bodø,187.0,187.0,0.7,2027-01-08,2031-03-11
1859,Flakstad,Bodø,2889.0,2889.0,5.25,2027-01-05,2031-02-07
1860,Vestvågøy,Bodø,4988.0,4988.0,14.15,2026-12-07,2030-10-10
1865,Vågan,Bodø,4309.0,4309.0,12.18,2026-12-11,2030-10-21
1866,Hadsel,Bodø,4661.0,4661.0,16.43,2026-11-30,2030-08-26
1867,Bø,Bodø,1613.0,1210.0,5.64,2027-01-01,2031-02-05
1868,Øksnes,Bodø,2602.0,0.0,0.0,2026-05-01,2026-06-12
1870,Sortland - Suortá,Bodø,4121.0,4121.0,17.65,2026-11-23,2030-07-24
1871,Andøy,Bodø,7827.0,7827.0,22.27,2026-10-07,2029-12-18
1874,Moskenes,Bodø,949.0,949.0,2.53,2027-01-07,2031-02-10
1875,Hábmer - Hamarøy,Bodø,5093.0,5093.0,31.75,2026-08-20,2029-03-28
3101,Halden,Oslo,11913.0,0.0,0.0,2026-05-01,2026-06-23
3103,Moss,Oslo,6581.0,6581.0,8.35,2027-01-14,2031-04-21
3105,Sarpsborg,Oslo,13048.0,13048.0,19.48,2026-12-01,2030-09-13
3107,Fredrikstad,Oslo,14235.0,14235.0,17.97,2026-12-14,2030-11-21
3110,Hvaler,Oslo,4834.0,4834.0,4.87,2027-01-15,2031-04-25
3112,Råde,Oslo,2288.0,0.0,0.0,2026-05-01,2026-06-25
3114,Våler,Oslo,8900.0,8900.0,11.85,2026-12-25,2031-01-13
3116,Skiptvet,Oslo,1677.0,335.0,0.75,2027-01-19,2031-06-05
3118,Indre Østfold,Oslo,15270.0,15270.0,32.53,2026-09-17,2029-09-12
3120,Rakkestad,Oslo,3807.0,190.0,0.69,2027-01-19,2031-06-09
3122,Marker,Oslo,2269.0,0.0,0.0,2026-05-01,2026-06-29
3124,Aremark,Oslo,1483.0,0.0,0.0,2026-05-01,2026-06-30
3201,Bærum,Oslo,10234.0,2047.0,2.57,2027-01-18,2031-05-20
3203,Asker,Oslo,16870.0,16870.0,23.9,2027-01-08,2031-02-25
3205,Lillestrøm,Oslo,10677.0,10677.0,20.33,2026-11-17,2030-06-21
3207,Nordre Follo,Oslo,6990.0,0.0,0.0,2026-05-01,2026-07-06
3209,Ullensaker,Oslo,5340.0,5340.0,12.75,2026-12-22,2030-12-20
3212,Nesodden,Oslo,2953.0,0.0,0.0,2026-05-01,2026-07-08
3214,Frogn,Oslo,4201.0,0.0,0.0,2026-05-01,2026-07-13
3216,Vestby,Oslo,4345.0,0.0,0.0,2026-05-01,2026-07-16
3218,Ås,Oslo,3084.0,0.0,0.0,2026-05-01,2026-07-20
3220,Enebakk,Oslo,4093.0,0.0,0.0,2026-05-01,2026-07-23
3222,Lørenskog,Oslo,2091.0,2091.0,3.28,2027-01-18,2031-05-09
3224,Rælingen,Oslo,3352.0,0.0,0.0,2026-05-01,2026-07-27
3226,Aurskog-Høland,Oslo,10975.0,10975.0,36.7,2026-08-26,2029-05-01
3228,Nes,Oslo,7813.0,7813.0,25.47,2026-10-15,2030-01-15
3230,Gjerdrum,Oslo,1443.0,0.0,0.0,2026-05-01,2026-07-28
3232,Nittedal,Oslo,5357.0,5357.0,11.33,2027-01-12,2031-04-02
3234,Lunner,Oslo,5579.0,0.0,0.0,2026-05-01,2026-08-03
3236,Jevnaker,Oslo,3494.0,0.0,0.0,2026-05-01,2026-08-05
3238,Nannestad,Oslo,4444.0,0.0,0.0,2026-05-01,2026-08-10
3240,Eidsvoll,Oslo,5707.0,0.0,0.0,2026-05-01,2026-08-14
3242,Hurdal,Oslo,4543.0,0.0,0.0,2026-05-01,2026-08-19
3301,Drammen,Oslo,11937.0,11937.0,19.53,2026-11-24,2030-08-05
3303,Kongsberg,Oslo,18936.0,18936.0,40.87,2026-07-31,2028-11-28
3305,Ringerike,Oslo,27311.0,27311.0,68.08,2026-05-25,2027-05-24
3310,Hole,Oslo,3102.0,0.0,0.0,2026-05-01,2026-08-21
3312,Lier,Oslo,6724.0,6724.0,15.43,2026-12-17,2030-12-03
3314,Øvre Eiker,Oslo,6486.0,6486.0,18.4,2026-12-07,2030-10-07
3316,Modum,Oslo,10613.0,10613.0,25.4,2026-10-26,2030-02-12
3318,Krødsherad,Oslo,7775.0,0.0,0.0,2026-05-01,2026-08-28
3320,Flå,Oslo,6856.0,6856.0,23.32,2026-11-10,2030-05-08
3322,Nesbyen,Oslo,11185.0,11185.0,34.28,2026-09-07,2029-07-11
3324,Gol,Oslo,9600.0,9600.0,25.93,2026-10-07,2029-12-11
3326,Hemsedal,Oslo,8110.0,8110.0,23.38,2026-11-02,2030-04-10
3328,Ål,Oslo,16194.0,16194.0,45.85,2026-07-02,2028-06-16
3330,Hol,Oslo,14988.0,11990.0,44.75,2026-07-17,2028-09-05
3332,Sigdal,Oslo,17054.0,17054.0,37.65,2026-08-13,2029-02-26
3334,Flesberg,Oslo,10021.0,0.0,0.0,2026-05-01,2026-09-08
3336,Rollag,Oslo,7744.0,5034.0,11.38,2026-12-30,2031-01-27
3338,Nore og Uvdal,Oslo,13281.0,13281.0,66.03,2026-06-16,2027-12-13
3401,Kongsvinger,Hamar,10212.0,511.0,1.9,2026-08-31,2029-06-05
3403,Hamar,Hamar,3151.0,158.0,0.55,2027-07-07,2032-12-22
3405,Lillehammer,Hamar,10606.0,10606.0,23.5,2027-06-07,2032-08-10
3407,Gjøvik,Hamar,7897.0,7897.0,24.6,2027-05-27,2032-07-26
3411,Ringsaker,Hamar,12701.0,635.0,1.96,2027-07-06,2032-12-08
3412,Løten,Hamar,2884.0,144.0,0.54,2027-07-07,2032-12-24
3413,Stange,Hamar,7796.0,390.0,1.18,2026-09-01,2029-06-12
3414,Nord-Odal,Hamar,3411.0,0.0,0.0,2026-05-01,2026-09-10
3415,Sør-Odal,Hamar,5776.0,0.0,0.0,2026-05-01,2026-09-16
3416,Eidskog,Hamar,5440.0,0.0,0.0,2026-05-01,2026-09-21
3417,Grue,Hamar,4204.0,0.0,0.0,2026-05-01,2026-09-24
3418,Åsnes,Hamar,5531.0,0.0,0.0,2026-05-01,2026-09-30
3419,Våler,Hamar,8900.0,445.0,1.07,2027-07-07,2032-12-20
