Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,3120,500,1738,2748,3716
Basis_85,MIP_vektet,3122,500,55,87,115
Basis_85,MIP_vektet,3124,500,56,88,117
Basis_85,MIP_vektet,3201,500,2048,3182,4253
Basis_85,MIP_vektet,3203,500,1983,3163,4200
Basis_85,MIP_vektet,3205,500,885,2166,3149
Basis_85,MIP_vektet,3207,500,62,97,130
Basis_85,MIP_vektet,3209,500,1400,2473,3406
Basis_85,MIP_vektet,3212,500,66,102,136
Basis_85,MIP_vektet,3214,500,69,108,143
Basis_85,MIP_vektet,3216,500,74,112,151
Basis_85,MIP_vektet,3218,500,75,117,157
Basis_85,MIP_vektet,3220,500,80,123,164
Basis_85,MIP_vektet,3222,500,1714,2726,3685
Basis_85,MIP_vektet,3224,500,82,129,171
Basis_85,MIP_vektet,3226,500,445,1134,2544
Basis_85,MIP_vektet,3228,500,733,1837,3037
Basis_85,MIP_vektet,3230,500,83,130,173
Basis_85,MIP_vektet,3232,500,1480,2530,3506
Basis_85,MIP_vektet,3234,500,89,138,182
Basis_85,MIP_vektet,3236,500,91,143,189
Basis_85,MIP_vektet,3238,500,96,150,196
Basis_85,MIP_vektet,3240,500,101,157,208
Basis_85,MIP_vektet,3242,500,104,164,216
Basis_85,MIP_vektet,3301,500,1068,2190,3233
Basis_85,MIP_vektet,3303,500,429,1058,2520
Basis_85,MIP_vektet,3305,500,843,1672,2754
Basis_85,MIP_vektet,3310,500,108,167,222
Basis_85,MIP_vektet,3312,500,1343,2404,3356
Basis_85,MIP_vektet,3314,500,1067,2208,3273
Basis_85,MIP_vektet,3316,500,710,1909,3085
Basis_85,MIP_vektet,3318,500,115,179,236
Basis_85,MIP_vektet,3320,500,937,2060,3030
Basis_85,MIP_vektet,3322,500,527,1471,2720
Basis_85,MIP_vektet,3324,500,649,1818,2958
Basis_85,MIP_vektet,3326,500,849,1956,2959
Basis_85,MIP_vektet,3328,500,376,873,2223
Basis_85,MIP_vektet,3330,500,402,905,2255
Basis_85,MIP_vektet,3332,500,434,1196,2565
Basis_85,MIP_vektet,3334,500,124,193,255
Basis_85,MIP_vektet,3336,500,1503,2552,3447
Basis_85,MIP_vektet,3338,500,416,795,1533
Basis_85,MIP_vektet,3401,500,1110,1763,2569
Basis_85,MIP_vektet,3403,500,1987,3107,4151
Basis_85,MIP_vektet,3405,500,1654,2591,3444
Basis_85,MIP_vektet,3407,499,2186,3427,4540
Basis_85,MIP_vektet,3411,500,1973,3084,4112
Basis_85,MIP_vektet,3412,500,1992,3109,4156
Basis_85,MIP_vektet,3413,500,1118,1768,2566
Basis_85,MIP_vektet,3414,500,126,196,262
Basis_85,MIP_vektet,3415,500,131,206,272
Basis_85,MIP_vektet,3416,500,137,213,283
Basis_85,MIP_vektet,3417,500,140,217,290
Basis_85,MIP_vektet,3418,500,145,227,300
Basis_85,MIP_vektet,3419,500,1984,3098,4147
Basis_85,MIP_vektet,3420,500,1979,3074,4107
Basis_85,MIP_vektet,3421,500,1957,3059,4070
Basis_85,MIP_vektet,3422,500,1943,3030,4031
Basis_85,MIP_vektet,3423,500,1907,2973,3965
Basis_85,MIP_vektet,3424,500,1538,2405,3211
Basis_85,MIP_vektet,3425,500,1753,2756,3714
Basis_85,MIP_vektet,3426,500,1753,2768,3735
Basis_85,MIP_vektet,3427,500,1812,2733,3671
Basis_85,MIP_vektet,3428,500,1447,2278,3058
Basis_85,MIP_vektet,3429,500,1755,2753,3693
Basis_85,MIP_vektet,3430,500,1767,2784,3770
Basis_85,MIP_vektet,3431,500,1420,2294,3051
Basis_85,MIP_vektet,3432,500,1452,2286,3121
Basis_85,MIP_vektet,3433,500,1513,2422,3335
Basis_85,MIP_vektet,3434,500,1655,2568,3427
Basis_85,MIP_vektet,3435,500,1451,2291,3063
Basis_85,MIP_vektet,3436,500,1815,2750,3671
Basis_85,MIP_vektet,3437,500,1432,2273,3013
Basis_85,MIP_vektet,3438,500,1613,2535,3504
Basis_85,MIP_vektet,3439,500,387,726,1596
Basis_85,MIP_vektet,3440,500,572,1286,2258
Basis_85,MIP_vektet,3441,500,430,901,1875
Basis_85,MIP_vektet,3442,500,1842,3236,4295
Basis_85,MIP_vektet,3443,500,2105,3291,4359
Basis_85,MIP_vektet,3446,500,682,1466,2384
Basis_85,MIP_vektet,3447,500,727,3128,4247
Basis_85,MIP_vektet,3448,499,2188,3413,4527
Basis_85,MIP_vektet,3449,500,448,1002,1886
Basis_85,MIP_vektet,3450,500,1696,2664,3552
Basis_85,MIP_vektet,3451,500,1511,2461,3259
Basis_85,MIP_vektet,3452,500,646,1475,2372
Basis_85,MIP_vektet,3453,500,564,1339,2303
Basis_85,MIP_vektet,3454,500,502,1124,2089
Basis_85,MIP_vektet,3901,499,2193,3406,4539
Basis_85,MIP_vektet,3903,500,2102,3302,4401
Basis_85,MIP_vektet,3905,499,2168,3316,4413
Basis_85,MIP_vektet,3907,500,2112,3281,4367
Basis_85,MIP_vektet,3909,499,2144,3359,4467
Basis_85,MIP_vektet,3911,499,2195,3406,4506
Basis_85,MIP_vektet,4001,499,2162,3372,4494
Basis_85,MIP_vektet,4003,500,2068,3247,4304
Basis_85,MIP_vektet,4005,500,1418,2293,3210
Basis_85,MIP_vektet,4010,500,1648,2513,3459
Basis_85,MIP_vektet,4012,500,2175,3383,4500
Basis_85,MIP_vektet,4014,500,2140,3357,4469
Basis_85,MIP_vektet,4016,499,2137,3352,4446
Basis_85,MIP_vektet,4018,499,2151,3357,4481
Basis_85,MIP_vektet,4020,500,153,238,318
Basis_85,MIP_vektet,4022,500,1462,2327,3213
Basis_85,MIP_vektet,4024,500,1538,2374,3352
Basis_85,MIP_vektet,4026,500,869,1794,2860
Basis_85,MIP_vektet,4028,500,1573,2446,3345
Basis_85,MIP_vektet,4030,500,1557,2404,3315
Basis_85,MIP_vektet,4032,500,2101,3263,4317
Basis_85,MIP_vektet,4034,500,2126,3295,4395
Basis_85,MIP_vektet,4036,500,2140,3324,4420
Basis_85,MIP_vektet,4201,500,837,1440,2167
Basis_85,MIP_vektet,4202,500,880,1428,2103
Basis_85,MIP_vektet,4203,500,1713,2797,3743
Basis_85,MIP_vektet,4204,500,1892,2902,3875
