KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
1859,Flakstad,Bodø,Bodø,False,5.25,2889.0,4,65
1860,Vestvågøy,Bodø,Bodø,False,14.15,4988.0,4,64
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,3,52
1866,Hadsel,Bodø,Bodø,False,16.43,4661.0,2,40
1867,Bø,Bodø,Bodø,False,5.64,1613.0,4,65
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,0,16
1871,Andøy,Bodø,Bodø,False,22.27,7827.0,1,28
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,4,66
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,1,29
3103,Moss,Oslo,Oslo,False,8.35,6581.0,4,62
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,2,32
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,4,57
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,4,64
3114,Våler,Oslo,Oslo,False,11.85,8900.0,4,60
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,4,65
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,1,23
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,4,64
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,0,6
3203,Asker,Oslo,Oslo,False,23.9,16870.0,0,2
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,2,34
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,4,63
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,4,65
3226,Aurskog-Høland,Oslo,Skien,True,36.7,10975.0,2,33
3228,Nes,Oslo,Oslo,False,25.47,7813.0,4,62
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,3,50
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,2,33
3303,Kongsberg,Oslo,Skien,True,40.87,18936.0,1,21
3305,Ringerike,Oslo,Skien,True,68.08,27311.0,2,31
3312,Lier,Oslo,Oslo,False,15.43,6724.0,3,49
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,3,49
3316,Modum,Oslo,Oslo,False,25.4,10613.0,1,26
3320,Flå,Oslo,Oslo,False,23.32,6856.0,3,48
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,1,26
3324,Gol,Oslo,Oslo,False,25.93,9600.0,0,7
3326,Hemsedal,Oslo,Oslo,False,23.38,8110.0,0,9
3328,Ål,Oslo,Stavanger,True,45.85,16194.0,0,3
3330,Hol,Oslo,Stavanger,True,44.75,14988.0,3,43
3332,Sigdal,Oslo,Skien,True,37.65,17054.0,2,31
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,3,47
3338,Nore og Uvdal,Oslo,Stavanger,True,66.03,13281.0,1,25
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,2,34
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,74
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,4,59
3407,Gjøvik,Hamar,Hamar,False,24.6,7897.0,8,78
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,7,73
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,74
3413,Stange,Hamar,Hamar,False,1.18,7796.0,2,37
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,74
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,74
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,72
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,74
