KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
1841,Fauske - Fuossko,Bodø,Tromsø,True,23.25,5814.0,3,2026-08-15,12,2027-05-15
1845,Sørfold,Bodø,Oslo,True,23.65,3450.0,2,2026-07-15,9,2027-02-15
1848,Steigen,Bodø,Skien,True,20.27,4379.0,1,2026-06-15,7,2026-12-15
1851,Lødingen,Bodø,Trondheim,True,9.78,2014.0,2,2026-07-15,9,2027-02-15
1853,Evenes - Evenášši,Bodø,Bergen,True,8.3,2823.0,3,2026-08-15,12,2027-05-15
1856,Røst,Bodø,Kristiansand,True,0.63,455.0,5,2026-10-15,21,2028-02-15
1857,Værøy,Bodø,Bergen,True,0.7,187.0,4,2026-09-15,15,2027-08-15
1859,Flakstad,Bodø,Molde,True,5.25,2889.0,4,2026-09-15,15,2027-08-15
1860,Vestvågøy,Bodø,Oslo,True,14.15,4988.0,3,2026-08-15,12,2027-05-15
1865,Vågan,Bodø,Oslo,True,12.18,4309.0,3,2026-08-15,12,2027-05-15
1866,Hadsel,Bodø,Skien,True,16.43,4661.0,2,2026-07-15,9,2027-02-15
1867,Bø,Bodø,Bergen,True,5.64,1613.0,2,2026-07-15,9,2027-02-15
1870,Sortland - Suortá,Bodø,Skien,True,17.65,4121.0,2,2026-07-15,9,2027-02-15
1871,Andøy,Bodø,Skien,True,22.27,7827.0,1,2026-06-15,7,2026-12-15
1874,Moskenes,Bodø,Bergen,True,2.53,949.0,2,2026-07-15,9,2027-02-15
1875,Hábmer - Hamarøy,Bodø,Oslo,True,31.75,5093.0,1,2026-06-15,7,2026-12-15
3103,Moss,Oslo,Hamar,True,8.35,6581.0,5,2026-10-15,21,2028-02-15
3105,Sarpsborg,Oslo,Kristiansand,True,19.48,13048.0,5,2026-10-15,21,2028-02-15
3107,Fredrikstad,Oslo,Bergen,True,17.97,14235.0,5,2026-10-15,21,2028-02-15
3110,Hvaler,Oslo,Tromsø,True,4.87,4834.0,5,2026-10-15,21,2028-02-15
3114,Våler,Oslo,Skien,True,11.85,8900.0,4,2026-09-15,15,2027-08-15
3116,Skiptvet,Oslo,Stavanger,True,0.75,1677.0,5,2026-10-15,21,2028-02-15
3118,Indre Østfold,Oslo,Bodø,True,32.53,15270.0,3,2026-08-15,12,2027-05-15
3120,Rakkestad,Oslo,Tromsø,True,0.69,3807.0,5,2026-10-15,21,2028-02-15
3201,Bærum,Oslo,Stavanger,True,2.57,10234.0,0,2026-05-15,1,2026-06-15
3203,Asker,Oslo,Bergen,True,23.9,16870.0,0,2026-05-15,1,2026-06-15
3205,Lillestrøm,Oslo,Molde,True,20.33,10677.0,3,2026-08-15,12,2027-05-15
3209,Ullensaker,Oslo,Molde,True,12.75,5340.0,5,2026-10-15,21,2028-02-15
3222,Lørenskog,Oslo,Trondheim,True,3.28,2091.0,5,2026-10-15,21,2028-02-15
3226,Aurskog-Høland,Oslo,Molde,True,36.7,10975.0,2,2026-07-15,9,2027-02-15
3228,Nes,Oslo,Bergen,True,25.47,7813.0,3,2026-08-15,12,2027-05-15
3232,Nittedal,Oslo,Skien,True,11.33,5357.0,3,2026-08-15,12,2027-05-15
3301,Drammen,Oslo,Bergen,True,19.53,11937.0,5,2026-10-15,21,2028-02-15
3303,Kongsberg,Oslo,Stavanger,True,40.87,18936.0,4,2026-09-15,16,2027-09-15
3305,Ringerike,Oslo,Bergen,True,68.08,27311.0,3,2026-08-15,12,2027-05-15
3312,Lier,Oslo,Molde,True,15.43,6724.0,4,2026-09-15,16,2027-09-15
3314,Øvre Eiker,Oslo,Skien,True,18.4,6486.0,3,2026-08-15,13,2027-06-15
3316,Modum,Oslo,Stavanger,True,25.4,10613.0,4,2026-09-15,16,2027-09-15
3320,Flå,Oslo,Stavanger,True,23.32,6856.0,3,2026-08-15,13,2027-06-15
3322,Nesbyen,Oslo,Skien,True,34.28,11185.0,3,2026-08-15,13,2027-06-15
3324,Gol,Oslo,Bodø,True,25.93,9600.0,3,2026-08-15,13,2027-06-15
3326,Hemsedal,Oslo,Skien,True,23.38,8110.0,0,2026-05-15,2,2026-07-15
3328,Ål,Oslo,,True,45.85,16194.0,4,2026-09-15,16,2027-09-15
3330,Hol,Oslo,Trondheim,True,44.75,14988.0,0,2026-05-15,2,2026-07-15
3332,Sigdal,Oslo,Hamar,True,37.65,17054.0,4,2026-09-15,16,2027-09-15
3336,Rollag,Oslo,Tromsø,True,11.38,7744.0,4,2026-09-15,16,2027-09-15
3338,Nore og Uvdal,Oslo,Molde,True,66.03,13281.0,0,2026-05-15,2,2026-07-15
3401,Kongsvinger,Hamar,Bodø,True,1.9,10212.0,5,2026-10-15,21,2028-02-15
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,2026-12-15,24,2028-05-15
