KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3209,Ullensaker,Oslo,Stavanger,True,12.75,5340.0,4,80
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,6,106
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,3,58
3228,Nes,Oslo,Oslo,False,25.47,7813.0,5,92
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,3,65
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,4,72
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,3,54
3305,Ringerike,Oslo,Stavanger,True,68.08,27311.0,2,38
3312,Lier,Oslo,Hamar,True,15.43,6724.0,5,92
3314,Øvre Eiker,Oslo,Bergen,True,18.4,6486.0,2,48
3316,Modum,Oslo,Bergen,True,25.4,10613.0,2,43
3320,Flå,Oslo,Oslo,False,23.32,6856.0,1,33
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,0,6
3324,Gol,Oslo,Oslo,False,25.93,9600.0,4,75
3326,Hemsedal,Oslo,Skien,True,23.38,8110.0,1,31
3328,Ål,Oslo,Molde,True,45.85,16194.0,3,56
3330,Hol,Oslo,Oslo,False,44.75,14988.0,2,40
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,2,39
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,5,92
3338,Nore og Uvdal,Oslo,Skien,True,66.03,13281.0,4,71
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,3,59
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,111
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,4,73
3407,Gjøvik,Hamar,Bodø,True,24.6,7897.0,8,116
3411,Ringsaker,Hamar,Bergen,True,1.96,12701.0,7,109
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,112
3413,Stange,Hamar,Hamar,False,1.18,7796.0,0,12
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,111
