KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
1826,Aarborte - Hattfjelldal,Bodø,Molde,True,39.02,4610.0,1,39
1827,Dønna,Bodø,Bodø,False,4.67,1732.0,4,85
1828,Nesna,Bodø,Bodø,False,5.08,1141.0,4,85
1832,Hemnes,Bodø,Bodø,False,28.6,4516.0,1,39
1833,Rana,Bodø,Stavanger,True,72.92,10959.0,1,36
1834,Lurøy,Bodø,Bodø,False,5.77,1485.0,3,71
1835,Træna,Bodø,Bodø,False,0.33,88.0,5,105
1836,Rødøy,Bodø,Bodø,False,10.95,1257.0,1,40
1837,Meløy,Bodø,Bodø,False,17.47,4215.0,3,69
1838,Gildeskål,Bodø,Bodø,False,12.23,2461.0,4,85
1839,Beiarn,Bodø,Bodø,False,21.67,3086.0,0,25
1840,Saltdal,Bodø,Skien,True,39.77,5167.0,2,53
1841,Fauske - Fuossko,Bodø,Bodø,False,23.25,5814.0,4,82
1845,Sørfold,Bodø,Bodø,False,23.65,3450.0,3,69
1848,Steigen,Bodø,Bodø,False,20.27,4379.0,0,22
1851,Lødingen,Bodø,Bodø,False,9.78,2014.0,2,54
1853,Evenes - Evenášši,Bodø,Bodø,False,8.3,2823.0,3,70
1856,Røst,Bodø,Bodø,False,0.63,455.0,5,105
1857,Værøy,Bodø,Bodø,False,0.7,187.0,5,105
1859,Flakstad,Bodø,Bodø,False,5.25,2889.0,4,84
1860,Vestvågøy,Bodø,Bodø,False,14.15,4988.0,3,68
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,5,101
1866,Hadsel,Bodø,Bodø,False,16.43,4661.0,4,83
1867,Bø,Bodø,Bodø,False,5.64,1613.0,5,104
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,5,102
1871,Andøy,Bodø,Bodø,False,22.27,7827.0,2,50
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,5,105
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,2,53
3103,Moss,Oslo,Oslo,False,8.35,6581.0,3,66
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,3,59
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,2,44
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,5,101
3114,Våler,Oslo,Oslo,False,11.85,8900.0,2,48
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,5,104
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,5,90
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,5,102
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,0,9
3203,Asker,Oslo,Oslo,False,23.9,16870.0,0,4
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,5,93
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,4,83
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,3,70
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,3,60
3228,Nes,Oslo,Oslo,False,25.47,7813.0,4,79
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,3,68
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,4,74
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,1,31
3305,Ringerike,Oslo,Skien,True,68.08,27311.0,0,2
3312,Lier,Oslo,Oslo,False,15.43,6724.0,5,99
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,4,81
3316,Modum,Oslo,Oslo,False,25.4,10613.0,2,45
3320,Flå,Oslo,Oslo,False,23.32,6856.0,0,17
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,0,9
3324,Gol,Oslo,Oslo,False,25.93,9600.0,4,77
3326,Hemsedal,Oslo,Stavanger,True,23.38,8110.0,1,38
3328,Ål,Oslo,Stavanger,True,45.85,16194.0,0,5
3330,Hol,Oslo,Oslo,False,44.75,14988.0,2,43
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,3,56
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,5,98
3338,Nore og Uvdal,Oslo,Stavanger,True,66.03,13281.0,3,57
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,3,62
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,111
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,4,76
3407,Gjøvik,Hamar,Hamar,False,24.6,7897.0,8,116
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,7,110
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,112
3413,Stange,Hamar,Hamar,False,1.18,7796.0,3,66
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,111
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,111
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,109
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,111
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,109
3424,Rendalen,Hamar,Skien,True,81.93,11980.0,4,74
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,5,99
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,5,96
3427,Tynset,Hamar,Skien,True,54.08,10498.0,5,94
3428,Alvdal,Hamar,Bergen,True,41.77,10557.0,6,107
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,5,97
3430,Os,Hamar,Hamar,False,1.29,5106.0,5,100
3431,Dovre,Hamar,Skien,True,40.73,8098.0,4,78
3432,Lesja,Hamar,Stavanger,True,43.92,6501.0,4,81
3433,Skjåk,Hamar,Hamar,False,37.75,5069.0,5,100
3434,Lom,Hamar,Bergen,True,39.0,6259.0,6,107
3435,Vågå,Hamar,Bergen,True,39.83,10194.0,4,76
3436,Nord-Fron,Hamar,Skien,True,41.25,12207.0,5,92
3437,Sel,Hamar,Molde,True,40.53,14777.0,4,73
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,4,78
3439,Ringebu,Hamar,Hamar,False,57.57,18435.0,1,32
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,2,46
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,0,7
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,1,39
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,1,40
3446,Gran,Hamar,Hamar,False,24.92,8906.0,2,47
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,0,14
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,113
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,3,58
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,5,99
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,5,92
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,3,60
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,3,65
