KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
1535,Vestnes,Molde,Molde,False,7.31,5719.0,0,0
1547,Aukra,Molde,Molde,False,1.12,900.0,2,8
1554,Averøy,Molde,Molde,False,7.85,3601.0,5,16
1557,Gjemnes,Molde,Oslo,True,12.08,3596.0,3,10
1560,Tingvoll,Molde,Molde,False,13.55,5373.0,5,16
1563,Sunndal,Molde,Skien,True,35.35,7848.0,0,0
1566,Surnadal,Molde,Molde,False,33.22,7330.0,1,5
1576,Aure,Molde,Molde,False,16.5,4577.0,3,10
1578,Fjord,Molde,Kristiansand,True,24.97,5931.0,0,0
1579,Hustadvika,Molde,Molde,False,21.07,7743.0,2,8
1580,Haram,Molde,Bergen,True,9.7,4153.0,0,0
1804,Bodø,Bodø,Molde,True,34.38,11982.0,4,13
1806,Narvik,Bodø,Molde,True,55.82,12335.0,3,10
1811,Bindal,Bodø,Bodø,False,18.83,2467.0,2,8
1812,Sømna,Bodø,Bodø,False,5.93,1993.0,5,17
1813,Brønnøy,Bodø,Bodø,False,21.05,5124.0,4,13
1815,Vega,Bodø,Bodø,False,3.77,1249.0,6,21
1816,Vevelstad,Bodø,Bodø,False,8.72,1471.0,2,8
1818,Herøy,Bodø,Bodø,False,2.02,3933.0,6,21
1820,Alstahaug,Bodø,Bodø,False,6.78,3019.0,6,21
1822,Leirfjord,Bodø,Bodø,False,9.38,2506.0,5,17
1824,Vefsn,Bodø,Kristiansand,True,37.77,8559.0,1,5
1825,Grane,Bodø,Bodø,False,30.45,4468.0,1,5
1826,Aarborte - Hattfjelldal,Bodø,Skien,True,39.02,4610.0,0,1
1827,Dønna,Bodø,Bodø,False,4.67,1732.0,5,17
1828,Nesna,Bodø,Bodø,False,5.08,1141.0,3,10
1832,Hemnes,Bodø,Bodø,False,28.6,4516.0,2,8
1833,Rana,Bodø,Molde,True,72.92,10959.0,2,8
1834,Lurøy,Bodø,Bodø,False,5.77,1485.0,5,17
1835,Træna,Bodø,Bodø,False,0.33,88.0,6,21
1836,Rødøy,Bodø,Bodø,False,10.95,1257.0,0,1
1837,Meløy,Bodø,Bodø,False,17.47,4215.0,3,10
1838,Gildeskål,Bodø,Bodø,False,12.23,2461.0,2,8
1839,Beiarn,Bodø,Bodø,False,21.67,3086.0,0,1
1840,Saltdal,Bodø,Stavanger,True,39.77,5167.0,2,8
1841,Fauske - Fuossko,Bodø,Bodø,False,23.25,5814.0,3,10
1845,Sørfold,Bodø,Skien,True,23.65,3450.0,0,1
1848,Steigen,Bodø,Bodø,False,20.27,4379.0,0,1
1851,Lødingen,Bodø,Bodø,False,9.78,2014.0,4,13
1853,Evenes - Evenášši,Bodø,Bodø,False,8.3,2823.0,6,21
1856,Røst,Bodø,Bodø,False,0.63,455.0,6,21
1857,Værøy,Bodø,Bodø,False,0.7,187.0,6,21
1859,Flakstad,Bodø,Bodø,False,5.25,2889.0,6,21
1860,Vestvågøy,Bodø,Bodø,False,14.15,4988.0,5,17
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,6,21
1866,Hadsel,Bodø,Bodø,False,16.43,4661.0,5,17
1867,Bø,Bodø,Bodø,False,5.64,1613.0,5,17
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,3,10
1871,Andøy,Bodø,Stavanger,True,22.27,7827.0,6,21
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,6,21
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,1,6
3103,Moss,Oslo,Oslo,False,8.35,6581.0,6,21
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,6,21
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,5,17
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,5,17
3114,Våler,Oslo,Molde,True,11.85,8900.0,5,17
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,6,21
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,5,17
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,6,21
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,0,1
3203,Asker,Oslo,Oslo,False,23.9,16870.0,0,1
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,5,17
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,3,10
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,6,21
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,2,8
3228,Nes,Oslo,Oslo,False,25.47,7813.0,1,6
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,5,17
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,4,13
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,3,10
3305,Ringerike,Oslo,Skien,True,68.08,27311.0,6,22
3312,Lier,Oslo,Oslo,False,15.43,6724.0,2,8
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,2,8
3316,Modum,Oslo,Kristiansand,True,25.4,10613.0,4,13
3320,Flå,Oslo,Oslo,False,23.32,6856.0,0,2
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,3,11
3324,Gol,Oslo,Oslo,False,25.93,9600.0,3,11
3326,Hemsedal,Oslo,Oslo,False,23.38,8110.0,1,6
3328,Ål,Oslo,Oslo,False,45.85,16194.0,1,6
3330,Hol,Oslo,Molde,True,44.75,14988.0,2,8
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,4,13
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,6,22
3338,Nore og Uvdal,Oslo,Stavanger,True,66.03,13281.0,2,8
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,0,2
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,24
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,6,22
3407,Gjøvik,Hamar,Hamar,False,24.6,7897.0,8,25
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,7,24
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,25
3413,Stange,Hamar,Hamar,False,1.18,7796.0,3,11
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,25
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,25
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,25
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,25
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,25
3424,Rendalen,Hamar,Trondheim,True,81.93,11980.0,6,22
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,6,22
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,6,22
3427,Tynset,Hamar,Skien,True,54.08,10498.0,5,17
3428,Alvdal,Hamar,Skien,True,41.77,10557.0,4,14
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,6,22
3430,Os,Hamar,Hamar,False,1.29,5106.0,6,22
3431,Dovre,Hamar,Skien,True,40.73,8098.0,4,14
3432,Lesja,Hamar,Trondheim,True,43.92,6501.0,4,14
