KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
1841,Fauske - Fuossko,Bodø,5814.0,5814.0,34.88,2027-07-16,2032-03-05
1845,Sørfold,Bodø,3450.0,3450.0,35.48,2027-06-16,2032-01-20
1848,Steigen,Bodø,4379.0,4379.0,30.4,2026-12-21,2030-02-13
1851,Lødingen,Bodø,2014.0,2014.0,14.68,2027-02-22,2030-11-08
1853,Evenes - Evenášši,Bodø,2823.0,2823.0,12.45,2027-03-05,2030-12-09
1856,Røst,Bodø,455.0,455.0,0.95,2027-03-29,2031-04-11
1857,Værøy,Bodø,187.0,187.0,1.05,2027-03-29,2031-04-11
1859,Flakstad,Bodø,2889.0,2889.0,7.88,2027-03-22,2031-03-03
1860,Vestvågøy,Bodø,4988.0,4988.0,21.23,2027-02-05,2030-09-18
1865,Vågan,Bodø,4309.0,4309.0,18.27,2027-02-15,2030-10-22
1866,Hadsel,Bodø,4661.0,4661.0,24.65,2027-01-27,2030-08-06
1867,Bø,Bodø,1613.0,1210.0,8.46,2027-03-18,2031-02-24
1868,Øksnes,Bodø,2602.0,0.0,0.0,2026-05-01,2026-06-12
1870,Sortland - Suortá,Bodø,4121.0,4121.0,26.48,2027-01-15,2030-05-21
1871,Andøy,Bodø,7827.0,7827.0,33.4,2026-11-23,2029-10-19
1874,Moskenes,Bodø,949.0,949.0,3.8,2027-03-26,2031-03-24
1875,Hábmer - Hamarøy,Bodø,5093.0,5093.0,47.62,2026-10-15,2029-04-05
3101,Halden,Oslo,11913.0,0.0,0.0,2026-05-01,2026-06-23
3103,Moss,Oslo,6581.0,6581.0,12.53,2027-05-24,2031-11-07
3105,Sarpsborg,Oslo,13048.0,13048.0,29.23,2027-03-29,2031-04-08
3107,Fredrikstad,Oslo,14235.0,14235.0,26.95,2027-04-16,2031-06-13
3110,Hvaler,Oslo,4834.0,4834.0,7.3,2027-05-26,2031-11-12
3112,Råde,Oslo,2288.0,0.0,0.0,2026-05-01,2026-06-25
3114,Våler,Oslo,8900.0,8900.0,17.77,2027-05-07,2031-09-11
3116,Skiptvet,Oslo,1677.0,335.0,1.12,2027-05-28,2031-12-08
3118,Indre Østfold,Oslo,15270.0,15270.0,48.8,2026-11-26,2029-11-09
3120,Rakkestad,Oslo,3807.0,190.0,1.03,2027-05-28,2031-12-11
3122,Marker,Oslo,2269.0,0.0,0.0,2026-05-01,2026-06-29
3124,Aremark,Oslo,1483.0,0.0,0.0,2026-05-01,2026-06-30
3201,Bærum,Oslo,10234.0,2047.0,3.86,2027-05-28,2031-12-05
3203,Asker,Oslo,16870.0,16870.0,35.85,2027-02-02,2030-08-28
3205,Lillestrøm,Oslo,10677.0,10677.0,30.5,2027-03-09,2031-01-03
3207,Nordre Follo,Oslo,6990.0,0.0,0.0,2026-05-01,2026-07-06
3209,Ullensaker,Oslo,5340.0,5340.0,19.12,2027-04-30,2031-08-15
3212,Nesodden,Oslo,2953.0,0.0,0.0,2026-05-01,2026-07-08
3214,Frogn,Oslo,4201.0,0.0,0.0,2026-05-01,2026-07-13
3216,Vestby,Oslo,4345.0,0.0,0.0,2026-05-01,2026-07-16
3218,Ås,Oslo,3084.0,0.0,0.0,2026-05-01,2026-07-20
3220,Enebakk,Oslo,4093.0,0.0,0.0,2026-05-01,2026-07-23
3222,Lørenskog,Oslo,2091.0,2091.0,4.92,2027-05-27,2031-11-14
3224,Rælingen,Oslo,3352.0,0.0,0.0,2026-05-01,2026-07-27
