KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
1841,Fauske - Fuossko,Bodø,Bodø,False,23.25,5814.0,3,2026-08-15,64,2031-09-15
1845,Sørfold,Bodø,Molde,True,23.65,3450.0,2,2026-07-15,50,2030-07-15
1848,Steigen,Bodø,Bodø,False,20.27,4379.0,0,2026-05-15,20,2028-01-15
1851,Lødingen,Bodø,Bodø,False,9.78,2014.0,6,2026-11-15,106,2035-03-15
1853,Evenes - Evenášši,Bodø,Molde,True,8.3,2823.0,5,2026-10-15,97,2034-06-15
1856,Røst,Bodø,Bodø,False,0.63,455.0,6,2026-11-15,106,2035-03-15
1857,Værøy,Bodø,Bodø,False,0.7,187.0,6,2026-11-15,106,2035-03-15
1859,Flakstad,Bodø,Bodø,False,5.25,2889.0,3,2026-08-15,67,2031-12-15
1860,Vestvågøy,Bodø,Skien,True,14.15,4988.0,5,2026-10-15,94,2034-03-15
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,5,2026-10-15,96,2034-05-15
1866,Hadsel,Bodø,Skien,True,16.43,4661.0,3,2026-08-15,66,2031-11-15
1867,Bø,Bodø,Bodø,False,5.64,1613.0,6,2026-11-15,106,2035-03-15
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,4,2026-09-15,81,2033-02-15
1871,Andøy,Bodø,Bodø,False,22.27,7827.0,1,2026-06-15,32,2029-01-15
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,6,2026-11-15,106,2035-03-15
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,1,2026-06-15,33,2029-02-15
3103,Moss,Oslo,Oslo,False,8.35,6581.0,5,2026-10-15,93,2034-02-15
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,5,2026-10-15,87,2033-08-15
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,2,2026-07-15,40,2029-09-15
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,5,2026-10-15,95,2034-04-15
3114,Våler,Oslo,Oslo,False,11.85,8900.0,6,2026-11-15,103,2034-12-15
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,6,2026-11-15,106,2035-03-15
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,1,2026-06-15,28,2028-09-15
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,5,2026-10-15,96,2034-05-15
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,0,2026-05-15,7,2026-12-15
3203,Asker,Oslo,Oslo,False,23.9,16870.0,0,2026-05-15,3,2026-08-15
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,5,2026-10-15,89,2033-10-15
3209,Ullensaker,Oslo,Stavanger,True,12.75,5340.0,4,2026-09-15,80,2033-01-15
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,6,2026-11-15,106,2035-03-15
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,3,2026-08-15,58,2031-03-15
3228,Nes,Oslo,Oslo,False,25.47,7813.0,5,2026-10-15,92,2034-01-15
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,3,2026-08-15,65,2031-10-15
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,4,2026-09-15,72,2032-05-15
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,3,2026-08-15,54,2030-11-15
3305,Ringerike,Oslo,Stavanger,True,68.08,27311.0,2,2026-07-15,38,2029-07-15
3312,Lier,Oslo,Hamar,True,15.43,6724.0,5,2026-10-15,92,2034-01-15
3314,Øvre Eiker,Oslo,Bergen,True,18.4,6486.0,2,2026-07-15,48,2030-05-15
3316,Modum,Oslo,Bergen,True,25.4,10613.0,2,2026-07-15,43,2029-12-15
3320,Flå,Oslo,Oslo,False,23.32,6856.0,1,2026-06-15,33,2029-02-15
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,0,2026-05-15,6,2026-11-15
3324,Gol,Oslo,Oslo,False,25.93,9600.0,4,2026-09-15,75,2032-08-15
3326,Hemsedal,Oslo,Skien,True,23.38,8110.0,1,2026-06-15,31,2028-12-15
3328,Ål,Oslo,Molde,True,45.85,16194.0,3,2026-08-15,56,2031-01-15
3330,Hol,Oslo,Oslo,False,44.75,14988.0,2,2026-07-15,40,2029-09-15
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,2,2026-07-15,39,2029-08-15
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,5,2026-10-15,92,2034-01-15
3338,Nore og Uvdal,Oslo,Skien,True,66.03,13281.0,4,2026-09-15,71,2032-04-15
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,3,2026-08-15,59,2031-04-15
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,2026-12-15,111,2035-08-15
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,4,2026-09-15,73,2032-06-15
3407,Gjøvik,Hamar,Bodø,True,24.6,7897.0,8,2027-01-15,116,2036-01-15
3411,Ringsaker,Hamar,Bergen,True,1.96,12701.0,7,2026-12-15,109,2035-06-15
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,2026-12-15,112,2035-09-15
3413,Stange,Hamar,Hamar,False,1.18,7796.0,0,2026-05-15,12,2027-05-15
