Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,3407,500,2117,3280,4386
Basis_85,3411,500,2274,3551,4689
Basis_85,3412,500,2286,3574,4717
Basis_85,3413,500,1048,1638,2287
Basis_85,3414,500,126,196,262
Basis_85,3415,500,131,206,272
Basis_85,3416,500,137,213,283
Basis_85,3417,500,140,217,290
Basis_85,3418,500,145,227,300
Basis_85,3419,500,2282,3565,4715
Basis_85,3420,500,2266,3546,4687
Basis_85,3421,500,2251,3525,4645
Basis_85,3422,500,2231,3496,4612
Basis_85,3423,500,2177,3421,4535
Basis_85,3424,500,1320,2094,3097
Basis_85,3425,500,2190,3435,4548
Basis_85,3426,500,2190,3439,4541
Basis_85,3427,500,1473,2503,3881
Basis_85,3428,500,1679,2835,4149
Basis_85,3429,500,2209,3434,4557
Basis_85,3430,500,2195,3463,4581
Basis_85,3431,500,1693,2871,4127
Basis_85,3432,500,1654,2770,4042
Basis_85,3433,500,1803,2936,4142
Basis_85,3434,500,1861,2880,4088
Basis_85,3435,500,1768,2978,4053
Basis_85,3436,500,1704,2774,4055
Basis_85,3437,500,1720,2887,4122
Basis_85,3438,500,2039,3202,4403
Basis_85,3439,500,423,829,1573
Basis_85,3440,500,662,1329,2020
Basis_85,3441,500,461,1033,1774
Basis_85,3442,500,1622,2729,3629
Basis_85,3443,500,1764,2784,3685
Basis_85,3446,500,766,1448,2113
Basis_85,3447,500,940,2652,3590
Basis_85,3448,500,1979,3057,4059
Basis_85,3449,500,486,1128,1748
Basis_85,3450,500,2132,3324,4435
Basis_85,3451,500,1743,2926,4071
Basis_85,3452,500,695,1456,2107
Basis_85,3453,500,682,1371,2043
Basis_85,3454,500,557,1237,1876
Basis_85,3901,500,2021,3167,4210
Basis_85,3903,500,1899,3019,3997
Basis_85,3905,500,1985,3040,4032
Basis_85,3907,500,1937,3024,4004
Basis_85,3909,500,1859,2941,3878
Basis_85,3911,500,2025,3154,4175
Basis_85,4001,500,1984,3119,4137
Basis_85,4003,500,1898,2951,3905
Basis_85,4005,500,367,631,962
Basis_85,4010,500,531,841,1242
Basis_85,4012,500,2001,3120,4165
Basis_85,4014,500,1971,3072,4073
Basis_85,4016,500,1864,2944,3925
Basis_85,4018,500,1991,3081,4128
Basis_85,4020,500,153,238,318
Basis_85,4022,500,380,641,1007
Basis_85,4024,500,423,705,1109
Basis_85,4026,500,297,465,713
Basis_85,4028,500,438,734,1119
Basis_85,4030,500,410,697,1103
Basis_85,4032,500,1910,2979,3944
Basis_85,4034,500,1896,2972,3925
Basis_85,4036,500,1769,2802,3736
Basis_85,4201,500,592,1014,1448
Basis_85,4202,500,573,994,1426
Basis_85,4203,500,1494,2356,3183
Basis_85,4204,500,1402,2232,3003
Basis_85,4205,500,1369,2167,2918
Basis_85,4206,500,569,976,1425
Basis_85,4207,500,867,1383,1874
Basis_85,4211,500,724,1140,1566
Basis_85,4212,500,429,836,1344
Basis_85,4213,500,507,941,1418
Basis_85,4214,500,723,1136,1572
Basis_85,4215,500,629,1049,1495
Basis_85,4216,500,382,694,1217
Basis_85,4217,500,319,596,1033
Basis_85,4218,500,709,1123,1554
