uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2026,30,Kristiansand,21.63,21.63,1.0
2026,30,Stavanger,0.0,20.19,0.0
2026,30,Bergen,28.85,28.85,1.0
2026,30,Molde,0.0,18.03,0.0
2026,30,Trondheim,37.5,37.5,1.0
2026,30,Bodø,15.87,15.87,1.0
2026,30,Tromsø,25.24,25.24,1.0
2026,31,Oslo,21.63,21.63,1.0
2026,31,Hamar,18.03,18.03,1.0
2026,31,Skien,0.0,28.85,0.0
2026,31,Kristiansand,19.55,21.63,0.903
2026,31,Stavanger,0.0,20.19,0.0
2026,31,Bergen,28.85,28.85,1.0
2026,31,Molde,0.0,18.03,0.0
2026,31,Trondheim,37.5,37.5,1.0
2026,31,Bodø,15.87,15.87,1.0
2026,31,Tromsø,25.24,25.24,1.0
2026,32,Oslo,21.63,21.63,1.0
2026,32,Hamar,18.03,18.03,1.0
2026,32,Skien,0.0,28.85,0.0
2026,32,Kristiansand,0.0,21.63,0.0
2026,32,Stavanger,0.0,20.19,0.0
2026,32,Bergen,28.85,28.85,1.0
2026,32,Molde,0.0,18.03,0.0
2026,32,Trondheim,37.5,37.5,1.0
2026,32,Bodø,15.87,15.87,1.0
2026,32,Tromsø,25.24,25.24,1.0
2026,33,Oslo,21.63,21.63,1.0
2026,33,Hamar,18.03,18.03,1.0
2026,33,Skien,0.0,28.85,0.0
2026,33,Kristiansand,0.0,21.63,0.0
2026,33,Stavanger,0.0,20.19,0.0
2026,33,Bergen,28.85,28.85,1.0
2026,33,Molde,0.0,18.03,0.0
2026,33,Trondheim,37.5,37.5,1.0
2026,33,Bodø,15.87,15.87,1.0
2026,33,Tromsø,25.24,25.24,1.0
2026,34,Oslo,21.63,21.63,1.0
2026,34,Hamar,18.03,18.03,1.0
2026,34,Skien,0.0,28.85,0.0
2026,34,Kristiansand,0.0,21.63,0.0
2026,34,Stavanger,0.0,20.19,0.0
2026,34,Bergen,28.85,28.85,1.0
2026,34,Molde,0.0,18.03,0.0
2026,34,Trondheim,37.5,37.5,1.0
2026,34,Bodø,15.87,15.87,1.0
2026,34,Tromsø,25.24,25.24,1.0
2026,35,Oslo,21.63,21.63,1.0
2026,35,Hamar,4.09,18.03,0.227
2026,35,Skien,0.0,28.85,0.0
2026,35,Kristiansand,0.0,21.63,0.0
2026,35,Stavanger,0.0,20.19,0.0
2026,35,Bergen,28.85,28.85,1.0
2026,35,Molde,0.0,18.03,0.0
2026,35,Trondheim,37.5,37.5,1.0
2026,35,Bodø,15.87,15.87,1.0
2026,35,Tromsø,25.24,25.24,1.0
2026,36,Oslo,21.63,21.63,1.0
2026,36,Hamar,14.42,18.03,0.8
2026,36,Skien,0.0,28.85,0.0
2026,36,Kristiansand,0.0,21.63,0.0
2026,36,Stavanger,0.0,20.19,0.0
2026,36,Bergen,28.85,28.85,1.0
2026,36,Molde,0.0,18.03,0.0
2026,36,Trondheim,37.5,37.5,1.0
2026,36,Bodø,15.87,15.87,1.0
2026,36,Tromsø,25.24,25.24,1.0
2026,37,Oslo,21.63,21.63,1.0
2026,37,Hamar,18.03,18.03,1.0
2026,37,Skien,0.0,28.85,0.0
2026,37,Kristiansand,0.0,21.63,0.0
2026,37,Stavanger,0.0,20.19,0.0
