KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,3,16
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,4,20
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,3,14
3228,Nes,Oslo,Oslo,False,25.47,7813.0,1,8
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,4,20
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,5,23
3303,Kongsberg,Oslo,Kristiansand,True,40.87,18936.0,2,10
3305,Ringerike,Oslo,Molde,True,68.08,27311.0,5,22
3312,Lier,Oslo,Oslo,False,15.43,6724.0,4,19
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,2,12
3316,Modum,Oslo,Oslo,False,25.4,10613.0,4,18
3320,Flå,Oslo,Oslo,False,23.32,6856.0,2,12
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,1,8
3324,Gol,Oslo,Oslo,False,25.93,9600.0,4,18
3326,Hemsedal,Oslo,Oslo,False,23.38,8110.0,3,15
3328,Ål,Oslo,Skien,True,45.85,16194.0,4,17
3330,Hol,Oslo,Bergen,True,44.75,14988.0,4,17
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,1,7
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,5,24
3338,Nore og Uvdal,Oslo,Kristiansand,True,66.03,13281.0,1,7
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,1,8
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,29
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,5,23
3407,Gjøvik,Hamar,Stavanger,True,24.6,7897.0,8,31
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,7,29
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,29
3413,Stange,Hamar,Hamar,False,1.18,7796.0,1,9
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,29
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,29
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,28
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,29
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,29
3424,Rendalen,Hamar,Molde,True,81.93,11980.0,6,27
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,6,28
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,6,27
3427,Tynset,Hamar,Stavanger,True,54.08,10498.0,4,18
3428,Alvdal,Hamar,Skien,True,41.77,10557.0,4,18
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,6,27
3430,Os,Hamar,Hamar,False,1.29,5106.0,6,28
3431,Dovre,Hamar,Skien,True,40.73,8098.0,6,28
3432,Lesja,Hamar,Trondheim,True,43.92,6501.0,4,20
3433,Skjåk,Hamar,Trondheim,True,37.75,5069.0,4,20
3434,Lom,Hamar,Hamar,False,39.0,6259.0,6,28
3435,Vågå,Hamar,Hamar,False,39.83,10194.0,6,27
3436,Nord-Fron,Hamar,Trondheim,True,41.25,12207.0,4,18
3437,Sel,Hamar,Skien,True,40.53,14777.0,5,22
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,5,24
3439,Ringebu,Hamar,Molde,True,57.57,18435.0,1,7
