Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,3120,500,1636,2580,3528
Basis_85,MIP_vektet,3122,500,55,87,115
Basis_85,MIP_vektet,3124,500,56,88,117
Basis_85,MIP_vektet,3201,500,2012,3169,4191
Basis_85,MIP_vektet,3203,500,1934,3127,4137
Basis_85,MIP_vektet,3205,500,768,1960,2964
Basis_85,MIP_vektet,3207,500,62,97,130
Basis_85,MIP_vektet,3209,500,1616,2547,3583
Basis_85,MIP_vektet,3212,500,66,102,136
Basis_85,MIP_vektet,3214,500,69,108,143
Basis_85,MIP_vektet,3216,500,74,112,151
Basis_85,MIP_vektet,3218,500,75,117,157
Basis_85,MIP_vektet,3220,500,80,123,164
Basis_85,MIP_vektet,3222,500,1624,2543,3486
Basis_85,MIP_vektet,3224,500,82,129,171
Basis_85,MIP_vektet,3226,500,434,1068,2326
Basis_85,MIP_vektet,3228,500,716,1699,2861
Basis_85,MIP_vektet,3230,500,83,130,173
Basis_85,MIP_vektet,3232,500,1342,2357,3295
Basis_85,MIP_vektet,3234,500,89,138,182
Basis_85,MIP_vektet,3236,500,91,143,189
Basis_85,MIP_vektet,3238,500,96,150,196
Basis_85,MIP_vektet,3240,500,101,157,208
Basis_85,MIP_vektet,3242,500,104,164,216
Basis_85,MIP_vektet,3301,500,1074,2004,2999
Basis_85,MIP_vektet,3303,500,412,996,2280
Basis_85,MIP_vektet,3305,500,930,1582,2658
Basis_85,MIP_vektet,3310,500,108,167,222
Basis_85,MIP_vektet,3312,500,1101,1860,2692
Basis_85,MIP_vektet,3314,500,891,1609,2302
Basis_85,MIP_vektet,3316,500,751,1491,2118
Basis_85,MIP_vektet,3318,500,115,179,236
Basis_85,MIP_vektet,3320,500,853,1852,2808
Basis_85,MIP_vektet,3322,500,485,1338,2525
Basis_85,MIP_vektet,3324,500,662,1651,2702
Basis_85,MIP_vektet,3326,500,774,1286,1903
Basis_85,MIP_vektet,3328,500,349,587,976
Basis_85,MIP_vektet,3330,500,375,837,2089
Basis_85,MIP_vektet,3332,500,418,1110,2408
Basis_85,MIP_vektet,3334,500,124,193,255
Basis_85,MIP_vektet,3336,500,1363,2376,3310
Basis_85,MIP_vektet,3338,500,427,734,1196
Basis_85,MIP_vektet,3401,500,1248,1967,2869
Basis_85,MIP_vektet,3403,500,1964,3085,4088
Basis_85,MIP_vektet,3405,500,1601,2612,3566
Basis_85,MIP_vektet,3407,500,2050,3196,4242
Basis_85,MIP_vektet,3411,500,1837,2894,3822
Basis_85,MIP_vektet,3412,500,1964,3090,4084
Basis_85,MIP_vektet,3413,500,1250,1968,2849
Basis_85,MIP_vektet,3414,500,126,196,262
Basis_85,MIP_vektet,3415,500,131,206,272
Basis_85,MIP_vektet,3416,500,137,213,283
Basis_85,MIP_vektet,3417,500,140,217,290
Basis_85,MIP_vektet,3418,500,145,227,300
Basis_85,MIP_vektet,3419,500,1951,3081,4078
Basis_85,MIP_vektet,3420,500,1957,3057,4060
