KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
1547,Aukra,Molde,Molde,False,1.12,900.0,2,64
1554,Averøy,Molde,Molde,False,7.85,3601.0,3,82
1557,Gjemnes,Molde,Molde,False,12.08,3596.0,3,82
1560,Tingvoll,Molde,Molde,False,13.55,5373.0,3,79
1563,Sunndal,Molde,Kristiansand,True,35.35,7848.0,0,14
1566,Surnadal,Molde,Molde,False,33.22,7330.0,2,61
1576,Aure,Molde,Molde,False,16.5,4577.0,3,81
1578,Fjord,Molde,Molde,False,24.97,5931.0,0,19
1579,Hustadvika,Molde,Molde,False,21.07,7743.0,2,60
1580,Haram,Molde,Molde,False,9.7,4153.0,0,23
1804,Bodø,Bodø,Bodø,False,34.38,11982.0,0,8
1806,Narvik,Bodø,Molde,True,55.82,12335.0,1,37
1811,Bindal,Bodø,Bodø,False,18.83,2467.0,4,99
1812,Sømna,Bodø,Bodø,False,5.93,1993.0,3,84
1813,Brønnøy,Bodø,Bodø,False,21.05,5124.0,4,96
1815,Vega,Bodø,Bodø,False,3.77,1249.0,3,85
1816,Vevelstad,Bodø,Bodø,False,8.72,1471.0,4,99
1818,Herøy,Bodø,Bodø,False,2.02,3933.0,4,97
1820,Alstahaug,Bodø,Bodø,False,6.78,3019.0,3,83
1822,Leirfjord,Bodø,Bodø,False,9.38,2506.0,4,98
1824,Vefsn,Bodø,Bodø,False,37.77,8559.0,1,40
1825,Grane,Bodø,Bodø,False,30.45,4468.0,2,64
1826,Aarborte - Hattfjelldal,Bodø,Bodø,False,39.02,4610.0,2,63
1827,Dønna,Bodø,Bodø,False,4.67,1732.0,4,99
1828,Nesna,Bodø,Bodø,False,5.08,1141.0,4,99
1832,Hemnes,Bodø,Bodø,False,28.6,4516.0,1,44
1833,Rana,Bodø,Stavanger,True,72.92,10959.0,1,38
1834,Lurøy,Bodø,Bodø,False,5.77,1485.0,3,85
1835,Træna,Bodø,Bodø,False,0.33,88.0,4,99
1836,Rødøy,Bodø,Bodø,False,10.95,1257.0,1,45
1837,Meløy,Bodø,Bodø,False,17.47,4215.0,3,81
1838,Gildeskål,Bodø,Bodø,False,12.23,2461.0,4,99
1839,Beiarn,Bodø,Bodø,False,21.67,3086.0,0,25
1840,Saltdal,Bodø,Bodø,False,39.77,5167.0,0,22
1841,Fauske - Fuossko,Bodø,Bodø,False,23.25,5814.0,4,95
