Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,0301,500,961,1819,2730
Basis_85,1101,500,615,978,1392
Basis_85,1103,500,444,753,1167
Basis_85,1106,500,1447,2270,3010
Basis_85,1108,500,1349,2113,2817
Basis_85,1111,500,626,984,1411
Basis_85,1112,500,618,984,1403
Basis_85,1114,500,614,971,1398
Basis_85,1119,500,447,766,1172
Basis_85,1120,500,579,943,1358
Basis_85,1121,500,487,832,1235
Basis_85,1122,500,401,678,1076
Basis_85,1124,500,1452,2271,3003
Basis_85,1127,500,1461,2277,3009
Basis_85,1130,500,495,824,1237
Basis_85,1133,500,346,571,930
Basis_85,1134,500,286,454,699
Basis_85,1135,500,488,820,1237
Basis_85,1144,500,1461,2283,3013
Basis_85,1145,500,1458,2280,3007
Basis_85,1146,500,1404,2196,2911
Basis_85,1149,500,1440,2223,2952
Basis_85,1151,500,1461,2283,3013
Basis_85,1160,500,1354,2165,2894
Basis_85,1505,500,678,1075,1463
Basis_85,1506,498,576,2664,3645
Basis_85,1508,499,1371,2632,3515
Basis_85,1511,500,4,5,7
Basis_85,1514,500,5,7,11
Basis_85,1515,500,10,13,18
Basis_85,1516,500,11,17,21
Basis_85,1517,500,12,19,25
Basis_85,1520,500,19,28,39
Basis_85,1525,500,1494,2627,3528
Basis_85,1528,500,1721,2683,3617
Basis_85,1531,500,21,33,45
Basis_85,1532,500,24,35,47
Basis_85,1535,498,1811,2805,3707
Basis_85,1539,500,31,46,61
Basis_85,1547,500,682,1083,1482
Basis_85,1554,500,636,1042,1427
Basis_85,1557,500,590,960,1357
Basis_85,1560,500,569,944,1298
Basis_85,1563,500,328,566,3191
Basis_85,1566,500,332,606,977
Basis_85,1573,500,32,48,66
Basis_85,1576,500,508,874,1272
Basis_85,1577,500,39,60,77
Basis_85,1578,500,419,2303,3454
Basis_85,1579,500,445,821,1204
Basis_85,1580,500,1704,2685,3618
Basis_85,1804,494,701,1379,2942
Basis_85,1806,500,394,655,1328
Basis_85,1811,500,1315,2029,2740
Basis_85,1812,500,1557,2447,3211
Basis_85,1813,500,1104,1947,2727
Basis_85,1815,500,1585,2498,3318
Basis_85,1816,500,1515,2399,3143
Basis_85,1818,500,1592,2530,3329
Basis_85,1820,500,1536,2424,3245
Basis_85,1822,439,1864,3360,4253
Basis_85,1824,500,563,1282,2045
Basis_85,1825,500,838,1583,2226
Basis_85,1826,500,615,1225,1921
Basis_85,1827,426,2303,3494,4269
Basis_85,1828,426,2309,3494,4267
Basis_85,1832,418,2317,3511,4262
Basis_85,1833,420,2314,3506,4273
Basis_85,1834,417,2323,3518,4262
Basis_85,1835,500,1607,2531,3331
Basis_85,1836,446,1741,3100,4241
Basis_85,1837,418,2322,3516,4268
Basis_85,1838,461,1621,2863,4170
Basis_85,1839,499,1151,1965,3027
Basis_85,1840,500,485,1194,1865
Basis_85,1841,475,1085,1981,3988
Basis_85,1845,486,1081,1945,3929
Basis_85,1848,500,1126,1976,2728
Basis_85,1851,500,1504,2354,3174
Basis_85,1853,500,1473,2371,3175
Basis_85,1856,500,1607,2531,3331
Basis_85,1857,500,1607,2531,3331
Basis_85,1859,500,1565,2477,3283
Basis_85,1860,500,1308,2202,3010
Basis_85,1865,500,1382,2258,3085
Basis_85,1866,500,1257,2131,2996
Basis_85,1867,500,1546,2458,3259
Basis_85,1868,500,40,62,83
Basis_85,1870,500,1229,2080,2936
Basis_85,1871,500,1025,1920,2666
Basis_85,1874,500,1606,2524,3329
Basis_85,1875,500,815,1502,2231
Basis_85,3101,500,52,80,105
Basis_85,3103,500,1557,2470,3338
Basis_85,3105,500,1291,2131,3043
Basis_85,3107,500,1257,2193,3074
Basis_85,3110,500,1609,2520,3436
Basis_85,3112,500,53,82,110
Basis_85,3114,500,1457,2364,3282
Basis_85,3116,500,1622,2557,3462
Basis_85,3118,500,845,1776,2720
Basis_85,3120,500,1623,2562,3469
Basis_85,3122,500,55,87,115
Basis_85,3124,500,56,88,117
Basis_85,3201,498,1801,2822,3752
Basis_85,3203,498,1770,2800,3717
Basis_85,3205,500,1213,2116,2971
Basis_85,3207,500,62,97,130
Basis_85,3209,500,1487,2342,3141
Basis_85,3212,500,66,102,136
Basis_85,3214,500,69,108,143
Basis_85,3216,500,74,112,151
Basis_85,3218,500,75,117,157
Basis_85,3220,500,80,123,164
Basis_85,3222,500,1620,2542,3448
Basis_85,3224,500,82,129,171
Basis_85,3226,500,775,1628,2510
Basis_85,3228,500,1147,1950,2896
Basis_85,3230,500,83,130,173
Basis_85,3232,500,1493,2360,3262
Basis_85,3234,500,89,138,182
Basis_85,3236,500,91,143,189
Basis_85,3238,500,96,150,196
Basis_85,3240,500,101,157,208
Basis_85,3242,500,104,164,216
Basis_85,3301,500,1292,2175,3015
Basis_85,3303,500,621,1536,2499
Basis_85,3305,500,457,973,2020
Basis_85,3310,500,108,167,222
Basis_85,3312,500,1385,2277,3158
Basis_85,3314,500,1259,2145,3055
Basis_85,3316,500,1068,1993,2869
Basis_85,3318,500,115,179,236
Basis_85,3320,500,1243,2065,2841
Basis_85,3322,500,859,1766,2630
Basis_85,3324,500,1019,1921,2771
Basis_85,3326,500,1133,2011,2790
Basis_85,3328,500,578,1395,2279
Basis_85,3330,500,676,1415,2328
Basis_85,3332,500,752,1630,2558
Basis_85,3334,500,124,193,255
Basis_85,3336,500,1475,2403,3238
Basis_85,3338,500,445,950,1929
Basis_85,3401,500,1048,1632,2258
Basis_85,3403,446,2234,3436,4234
Basis_85,3405,478,2044,3180,4069
Basis_85,3407,480,2090,3197,4080
Basis_85,3411,449,2218,3420,4218
Basis_85,3412,446,2234,3430,4231
Basis_85,3413,500,1049,1642,2259
Basis_85,3414,500,126,196,262
Basis_85,3415,500,131,206,272
Basis_85,3416,500,137,213,283
Basis_85,3417,500,140,217,290
Basis_85,3418,500,145,227,300
Basis_85,3419,446,2232,3426,4216
Basis_85,3420,453,2224,3419,4248
Basis_85,3421,453,2200,3401,4223
Basis_85,3422,455,2184,3366,4196
Basis_85,3423,466,2135,3318,4155
Basis_85,3424,499,1374,2145,3077
Basis_85,3425,465,2142,3315,4163
Basis_85,3426,463,2147,3332,4167
Basis_85,3427,494,1503,2507,3660
Basis_85,3428,489,1697,2764,3905
Basis_85,3429,465,2155,3331,4169
Basis_85,3430,462,2155,3337,4175
Basis_85,3431,496,1691,2819,3995
Basis_85,3432,495,1638,2708,3849
Basis_85,3433,496,1805,2877,3995
Basis_85,3434,494,1836,2812,3972
Basis_85,3435,491,1753,2931,3919
Basis_85,3436,489,1713,2729,3834
Basis_85,3437,490,1728,2840,3939
Basis_85,3438,479,1977,3106,4025
Basis_85,3439,500,426,829,1568
Basis_85,3440,500,655,1344,2033
Basis_85,3441,500,482,1039,1790
Basis_85,3442,498,1596,2832,3757
Basis_85,3443,498,1844,2883,3792
Basis_85,3446,500,776,1467,2125
Basis_85,3447,498,867,2728,3702
Basis_85,3448,489,1997,3066,3966
Basis_85,3449,500,486,1139,1764
Basis_85,3450,475,2099,3251,4115
Basis_85,3451,492,1750,2868,3847
Basis_85,3452,500,695,1463,2113
Basis_85,3453,500,677,1379,2042
Basis_85,3454,500,556,1241,1873
Basis_85,3901,485,2043,3169,4146
Basis_85,3903,491,1935,3055,3981
Basis_85,3905,488,1994,3068,3989
Basis_85,3907,492,1958,3043,3968
Basis_85,3909,493,1915,2979,3898
Basis_85,3911,485,2032,3167,4100
Basis_85,4001,488,2003,3132,4076
Basis_85,4003,495,1933,3007,3951
Basis_85,4005,500,359,638,969
Basis_85,4010,500,536,843,1238
Basis_85,4012,488,2021,3132,4101
Basis_85,4014,489,1972,3083,4048
Basis_85,4016,496,1911,2999,3964
Basis_85,4018,489,1996,3107,4065
Basis_85,4020,500,153,238,318
Basis_85,4022,500,377,642,1020
Basis_85,4024,500,423,704,1104
Basis_85,4026,500,297,463,720
Basis_85,4028,500,443,736,1130
Basis_85,4030,500,409,699,1095
Basis_85,4032,492,1948,3013,3959
Basis_85,4034,493,1933,3009,3946
Basis_85,4036,497,1865,2901,3842
Basis_85,4201,500,591,1013,1453
Basis_85,4202,500,580,999,1427
Basis_85,4203,500,1538,2453,3316
Basis_85,4204,500,1487,2335,3143
Basis_85,4205,500,1433,2259,3071
Basis_85,4206,500,566,971,1428
Basis_85,4207,500,898,1419,1911
Basis_85,4211,500,720,1142,1567
Basis_85,4212,500,422,838,1349
Basis_85,4213,500,507,949,1420
Basis_85,4214,500,718,1137,1568
Basis_85,4215,500,629,1049,1484
Basis_85,4216,500,381,698,1217
Basis_85,4217,500,319,598,1041
Basis_85,4218,500,710,1126,1547
Basis_85,4219,500,1577,2476,3291
Basis_85,4220,500,341,620,1104
Basis_85,4221,500,873,1368,1848
Basis_85,4222,500,1284,2036,2698
Basis_85,4223,500,1637,2558,3391
Basis_85,4224,500,1594,2468,3289
Basis_85,4225,500,1522,2399,3274
Basis_85,4226,500,158,245,327
Basis_85,4227,500,346,638,1104
Basis_85,4228,500,848,1350,1854
Basis_85,4601,464,1593,3235,4184
Basis_85,4602,469,1094,3119,4171
Basis_85,4611,500,867,1544,2175
