Scenario,N_Iterasjoner,Kartkontor_Dager_P5,Kartkontor_Dager_P50,Kartkontor_Dager_P95,Varighet_Dager_P5,Varighet_Dager_P50,Varighet_Dager_P95,Varighet_Aar_P5,Varighet_Aar_P50,Varighet_Aar_P95,Throughput_P5,Throughput_P50,Throughput_P95
Basis_85,500,475,488,504,2358,3657,4375,6.46,10.01,11.98,759,1007,1561
Middels_90,500,475,488,502,1188,2435,3620,3.25,6.67,9.91,1017,1512,3098
Samferdsel_96,500,474,488,504,481,862,2149,1.32,2.36,5.88,1713,4271,15499
