KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,4,2026-09-15,23,2028-04-15
1866,Hadsel,Bodø,Bodø,False,16.43,4661.0,5,2026-10-15,28,2028-09-15
1867,Bø,Bodø,Bodø,False,5.64,1613.0,4,2026-09-15,23,2028-04-15
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,2,2026-07-15,14,2027-07-15
1871,Andøy,Bodø,Bodø,False,22.27,7827.0,5,2026-10-15,27,2028-08-15
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,5,2026-10-15,28,2028-09-15
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,0,2026-05-15,5,2026-10-15
3103,Moss,Oslo,Oslo,False,8.35,6581.0,5,2026-10-15,27,2028-08-15
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,3,2026-08-15,15,2027-08-15
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,5,2026-10-15,26,2028-07-15
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,5,2026-10-15,28,2028-09-15
3114,Våler,Oslo,Oslo,False,11.85,8900.0,5,2026-10-15,26,2028-07-15
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,5,2026-10-15,28,2028-09-15
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,1,2026-06-15,8,2027-01-15
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,5,2026-10-15,28,2028-09-15
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,0,2026-05-15,2,2026-07-15
3203,Asker,Oslo,Oslo,False,23.9,16870.0,0,2026-05-15,1,2026-06-15
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,4,2026-09-15,21,2028-02-15
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,4,2026-09-15,23,2028-04-15
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,5,2026-10-15,28,2028-09-15
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,0,2026-05-15,2,2026-07-15
3228,Nes,Oslo,Oslo,False,25.47,7813.0,1,2026-06-15,10,2027-03-15
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,4,2026-09-15,22,2028-03-15
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,4,2026-09-15,20,2028-01-15
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,4,2026-09-15,19,2027-12-15
3305,Ringerike,Oslo,Kristiansand,True,68.08,27311.0,1,2026-06-15,7,2026-12-15
3312,Lier,Oslo,Oslo,False,15.43,6724.0,2,2026-07-15,13,2027-06-15
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,1,2026-06-15,10,2027-03-15
3316,Modum,Oslo,Oslo,False,25.4,10613.0,3,2026-08-15,16,2027-09-15
3320,Flå,Oslo,Oslo,False,23.32,6856.0,0,2026-05-15,4,2026-09-15
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,3,2026-08-15,16,2027-09-15
3324,Gol,Oslo,Oslo,False,25.93,9600.0,3,2026-08-15,16,2027-09-15
3326,Hemsedal,Oslo,Oslo,False,23.38,8110.0,1,2026-06-15,9,2027-02-15
3328,Ål,Oslo,Oslo,False,45.85,16194.0,2,2026-07-15,12,2027-05-15
3330,Hol,Oslo,Oslo,False,44.75,14988.0,2,2026-07-15,12,2027-05-15
3332,Sigdal,Oslo,Tromsø,True,37.65,17054.0,2,2026-07-15,12,2027-05-15
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,5,2026-10-15,27,2028-08-15
3338,Nore og Uvdal,Oslo,Kristiansand,True,66.03,13281.0,1,2026-06-15,8,2027-01-15
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,1,2026-06-15,9,2027-02-15
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,7,2026-12-15,29,2028-10-15
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,5,2026-10-15,26,2028-07-15
3407,Gjøvik,Hamar,Hamar,False,24.6,7897.0,8,2027-01-15,31,2028-12-15
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,7,2026-12-15,29,2028-10-15
3412,Løten,Hamar,Hamar,False,0.54,2884.0,7,2026-12-15,29,2028-10-15
3413,Stange,Hamar,Hamar,False,1.18,7796.0,1,2026-06-15,10,2027-03-15
