KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
1811,Bindal,Bodø,Bodø,False,18.83,2467.0,47,2030-04-15,47,2030-04-15
1812,Sømna,Bodø,Bodø,False,5.93,1993.0,34,2029-03-15,34,2029-03-15
1813,Brønnøy,Bodø,Bodø,False,21.05,5124.0,12,2027-05-15,12,2027-05-15
1815,Vega,Bodø,Bodø,False,3.77,1249.0,35,2029-04-15,36,2029-05-15
1816,Vevelstad,Bodø,Bodø,False,8.72,1471.0,40,2029-09-15,40,2029-09-15
1818,Herøy,Bodø,Bodø,False,2.02,3933.0,23,2028-04-15,23,2028-04-15
1820,Alstahaug,Bodø,Bodø,False,6.78,3019.0,7,2026-12-15,7,2026-12-15
1822,Leirfjord,Bodø,Bodø,False,9.38,2506.0,31,2028-12-15,31,2028-12-15
1824,Vefsn,Bodø,Bodø,False,37.77,8559.0,23,2028-04-15,24,2028-05-15
1825,Grane,Bodø,Bodø,False,30.45,4468.0,14,2027-07-15,14,2027-07-15
1826,Aarborte - Hattfjelldal,Bodø,Bodø,False,39.02,4610.0,27,2028-08-15,27,2028-08-15
1827,Dønna,Bodø,Bodø,False,4.67,1732.0,19,2027-12-15,19,2027-12-15
1828,Nesna,Bodø,Bodø,False,5.08,1141.0,25,2028-06-15,25,2028-06-15
1832,Hemnes,Bodø,Bodø,False,28.6,4516.0,12,2027-05-15,12,2027-05-15
1833,Rana,Bodø,Bodø,False,72.92,10959.0,48,2030-05-15,49,2030-06-15
1834,Lurøy,Bodø,Bodø,False,5.77,1485.0,67,2031-12-15,67,2031-12-15
1835,Træna,Bodø,Bodø,False,0.33,88.0,69,2032-02-15,69,2032-02-15
1836,Rødøy,Bodø,Bodø,False,10.95,1257.0,55,2030-12-15,55,2030-12-15
1837,Meløy,Bodø,Bodø,False,17.47,4215.0,49,2030-06-15,50,2030-07-15
1838,Gildeskål,Bodø,Bodø,False,12.23,2461.0,45,2030-02-15,45,2030-02-15
1839,Beiarn,Bodø,Bodø,False,21.67,3086.0,59,2031-04-15,60,2031-05-15
1840,Saltdal,Bodø,Bodø,False,39.77,5167.0,30,2028-11-15,30,2028-11-15
1841,Fauske - Fuossko,Bodø,Bodø,False,23.25,5814.0,14,2027-07-15,14,2027-07-15
1845,Sørfold,Bodø,Bodø,False,23.65,3450.0,23,2028-04-15,24,2028-05-15
1848,Steigen,Bodø,Bodø,False,20.27,4379.0,45,2030-02-15,45,2030-02-15
1851,Lødingen,Bodø,Bodø,False,9.78,2014.0,7,2026-12-15,7,2026-12-15
1853,Evenes - Evenášši,Bodø,Bodø,False,8.3,2823.0,13,2027-06-15,13,2027-06-15
1856,Røst,Bodø,Bodø,False,0.63,455.0,41,2029-10-15,41,2029-10-15
1857,Værøy,Bodø,Bodø,False,0.7,187.0,69,2032-02-15,69,2032-02-15
1859,Flakstad,Bodø,Bodø,False,5.25,2889.0,54,2030-11-15,54,2030-11-15
1860,Vestvågøy,Bodø,Bodø,False,14.15,4988.0,46,2030-03-15,46,2030-03-15
1865,Vågan,Bodø,Bodø,False,12.18,4309.0,52,2030-09-15,53,2030-10-15
1866,Hadsel,Bodø,Bodø,False,16.43,4661.0,11,2027-04-15,11,2027-04-15
1867,Bø,Bodø,Bodø,False,5.64,1613.0,55,2030-12-15,55,2030-12-15
1870,Sortland - Suortá,Bodø,Bodø,False,17.65,4121.0,12,2027-05-15,12,2027-05-15
1871,Andøy,Bodø,Bodø,False,22.27,7827.0,28,2028-09-15,28,2028-09-15
